# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_1f66bce6668_model
# start_datetime = 2023-01-05 19:42:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp5HTisb/standata-1f62f65d9e7.json
# init = 2 (Default)
# random
#   seed = 1261831243
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-202301051942-1-6b75c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-profile-202301051942-1-4fbba7.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.466307
# Diagonal elements of inverse mass matrix:
# 0.000881751, 6.15864e-05, 0.00796852, 0.0169489, 0.00910237, 0.00185718, 0.0137861, 0.000938736, 0.00264971, 0.00212853, 1.50106e-05
-408610,0.945865,0.466307,3,7,0,408617,-0.00028373,-0.184314,0.0155529,-0.0729254,0.0815999,0.673447,3.05378,1.00801,-0.558987,45.0332,14.4465,45.0743
-408608,1,0.466307,3,7,0,408613,-0.0187185,-0.197249,-0.0928119,-0.299776,0.0223584,0.786475,2.84666,1.01782,-0.668592,45.1441,14.4038,45.7622
-408611,0.66189,0.466307,2,7,0,408613,-0.0178034,-0.201612,-0.0849551,-0.264438,0.0547624,0.823719,2.9244,1.02129,-0.65683,45.1519,14.4113,45.628
-408610,0.870812,0.466307,3,7,0,408618,-0.0319513,-0.174074,0.0581445,0.0833838,0.0784003,0.728986,2.90197,1.05251,-0.578268,45.0376,14.4082,44.4247
-408608,0.832691,0.466307,3,7,0,408617,-0.0252693,-0.19529,0.00137169,-0.114894,-0.0102184,0.731943,2.78522,1.01153,-0.550244,45.1153,14.4148,45.3997
-408611,0.774965,0.466307,3,7,0,408617,-0.00495862,-0.190404,0.12442,-0.295009,0.0337739,0.819714,2.7562,1.0383,-0.624681,45.07,14.4696,45.1126
-408610,1,0.466307,3,7,0,408613,-0.0226695,-0.189705,-0.143502,-0.0195738,0.18286,0.687684,2.83469,1.03179,-0.633181,45.087,14.3496,45.4219
-408613,0.897513,0.466307,3,7,0,408616,-0.0337732,-0.185709,-0.127361,0.030901,0.262639,0.693312,2.85205,1.01945,-0.634543,45.0844,14.3224,45.2315
-408615,0.98756,0.466307,3,7,0,408620,-0.00910215,-0.19665,-0.259298,-0.329197,0.0301674,0.739311,3.08299,1.02843,-0.608532,45.0987,14.5039,45.6519
-408614,0.964362,0.466307,3,7,0,408624,-0.0201019,-0.182105,0.0110584,-0.00128976,-0.154114,0.818496,2.86963,1.00668,-0.577155,45.1261,14.3226,44.7777
-408613,0.945085,0.466307,3,7,0,408620,-0.0357264,-0.195671,0.0723328,-0.291012,0.0714751,0.762842,2.96424,0.982994,-0.62312,45.0747,14.5176,45.5638
-408617,0.967411,0.466307,3,7,0,408620,-0.0379941,-0.17689,-0.0898222,0.117106,-0.032359,0.736683,2.98367,1.04311,-0.616061,45.2146,14.3006,44.8627
-408614,1,0.466307,3,7,0,408623,-0.00309783,-0.210106,0.0334275,-0.412774,0.0959951,0.695171,2.77337,1.06442,-0.631854,44.9806,14.3707,46.0614
-408612,0.999383,0.466307,3,7,0,408619,0.0222043,-0.204156,-0.0434217,-0.291717,0.0851115,0.676137,3.00998,1.07121,-0.664778,45.2102,14.4432,46.1286
-408610,0.999433,0.466307,4,15,0,408617,0.015158,-0.193181,-0.0109765,-0.137133,-0.011883,0.647944,3.07034,1.03713,-0.576365,45.0276,14.3809,45.4813
-408611,0.996501,0.466307,3,15,0,408612,-0.0373626,-0.181851,-0.0382136,-0.182435,0.167178,0.810071,2.64739,1.04275,-0.694669,45.1811,14.3787,45.1598
-408610,0.991615,0.466307,3,7,0,408616,0.0298038,-0.197003,0.156929,-0.0675878,-0.0137902,0.700399,3.01872,0.999756,-0.597802,45.0344,14.3971,45.4852
-408611,0.977408,0.466307,3,7,0,408614,0.0152447,-0.191891,0.0682799,-0.0269519,-0.106705,0.738273,3.0173,0.982623,-0.618687,45.0181,14.4078,45.3607
-408617,0.787699,0.466307,3,7,0,408622,-0.014085,-0.173728,0.104131,-0.12507,0.167667,0.80227,3.04404,0.938946,-0.525302,45.0346,14.3743,44.3748
-408613,0.952903,0.466307,3,7,0,408622,-0.0115667,-0.19688,-0.18336,-0.136658,0.112534,0.660253,2.83224,1.04433,-0.756391,45.1406,14.4309,46.2654
-408608,0.977084,0.466307,3,7,0,408618,-0.0307882,-0.182847,-0.0101804,-0.0934329,0.171212,0.762844,2.95241,1.04143,-0.598395,45.1334,14.3924,44.8278
-408609,0.892837,0.466307,4,15,0,408614,-0.00524899,-0.192262,-0.0358789,0.073637,-0.0767026,0.73802,2.89281,1.00842,-0.626128,45.0651,14.4169,45.3516
-408610,0.961778,0.466307,3,7,0,408613,0.018583,-0.183966,-0.0386875,-0.204304,0.275006,0.744721,2.94133,1.04406,-0.608488,45.1439,14.4111,45.0006
-408609,0.949804,0.466307,3,7,0,408613,0.0176688,-0.182135,-0.0200011,-0.103102,0.219012,0.753939,3.0068,1.03573,-0.687255,45.146,14.4026,45.1078
-408608,0.973689,0.466307,3,15,0,408611,-0.0278575,-0.196904,0.0363374,-0.288567,-0.0192964,0.759318,2.90417,1.06738,-0.59426,45.0621,14.4141,45.3305
-408615,0.561359,0.466307,3,7,0,408623,0.0333132,-0.179084,-0.0169302,0.0794912,0.274318,0.734557,3.1171,1.03589,-0.670658,45.1562,14.4565,44.8368
-408608,1,0.466307,3,7,0,408617,0.0169787,-0.186116,0.000255073,0.0573259,0.131902,0.700296,2.85504,1.01664,-0.623327,45.1405,14.4526,45.2523
-408615,0.887111,0.466307,3,7,0,408618,0.0231053,-0.176486,-0.0163006,0.176908,0.0550804,0.683466,2.94371,1.09634,-0.528903,45.0604,14.3848,44.3483
-408614,1,0.466307,3,7,0,408619,-0.0345479,-0.208866,0.00458998,-0.384153,0.185857,0.776131,2.8315,1.0109,-0.783038,45.1523,14.4168,46.4458
-408612,0.944701,0.466307,3,7,0,408618,0.0298666,-0.184208,0.111872,0.046639,0.13479,0.723138,2.91471,1.06516,-0.554677,45.0224,14.4056,44.5725
