# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_1f66bce6668_model
# start_datetime = 2023-01-05 19:42:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/Rtmp5HTisb/standata-1f62f65d9e7.json
# init = 2 (Default)
# random
#   seed = 1261831243
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-202301051942-2-6b75c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-profile-202301051942-2-4fbba7.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.472107
# Diagonal elements of inverse mass matrix:
# 0.00093735, 7.15041e-05, 0.00927371, 0.0165994, 0.00951441, 0.00177619, 0.0134775, 0.00107767, 0.00227004, 0.00191739, 1.53874e-05
-408608,0.941088,0.472107,3,7,0,408611,0.0075469,-0.193431,0.0197378,-0.251956,-0.00795649,0.757235,2.81802,1.06233,-0.649678,45.0624,14.4468,45.4311
-408606,0.796229,0.472107,3,7,0,408614,-0.0362894,-0.184073,0.0204658,-0.0399318,0.0951372,0.756378,2.94901,1.01844,-0.603343,45.0816,14.4262,44.9144
-408608,0.817635,0.472107,3,7,0,408612,-0.023497,-0.183686,-0.0704367,-0.0766357,0.123662,0.732651,2.96736,1.01314,-0.567636,45.0598,14.4474,44.9174
-408609,0.941209,0.472107,3,7,0,408614,0.0094191,-0.196151,-0.0372524,-0.120253,-0.00353482,0.756743,2.71708,1.05687,-0.711254,45.1457,14.4381,45.7538
-408612,0.890332,0.472107,3,7,0,408616,0.0462733,-0.184697,0.12547,-0.0423439,0.0937595,0.764914,2.62189,1.07326,-0.717561,45.085,14.3937,45.1653
-408611,0.995661,0.472107,3,7,0,408617,-0.00225653,-0.192902,0.207531,-0.0075843,0.213995,0.726775,2.73201,1.03943,-0.715241,45.1317,14.4032,45.5134
-408608,1,0.472107,3,7,0,408613,0.0288204,-0.191991,-0.0233357,-0.261118,0.131884,0.738402,3.04008,1.00099,-0.65903,45.0874,14.4192,45.5681
-408606,0.659705,0.472107,3,7,0,408613,-0.0211779,-0.189254,0.0588264,-0.0289763,0.129053,0.766324,2.78857,1.03904,-0.684138,45.1059,14.4226,45.2466
-408608,0.945804,0.472107,3,7,0,408610,-0.00696816,-0.193114,-0.0998183,-0.17097,-0.0114824,0.703322,3.01125,1.06447,-0.565293,45.1064,14.4431,45.3143
-408610,0.922541,0.472107,3,7,0,408614,0.0143719,-0.18742,-0.105469,0.0302161,0.0585608,0.678737,3.02556,1.02561,-0.591316,45.1784,14.385,45.3211
-408608,0.977293,0.472107,3,7,0,408613,0.00273575,-0.184818,-0.0980477,0.097962,0.0178297,0.728631,2.89312,1.07471,-0.626688,45.147,14.4145,45.0023
-408608,0.984141,0.472107,3,7,0,408612,-0.0304526,-0.190543,0.0216895,-0.155374,0.178563,0.796069,2.91561,0.992378,-0.646634,45.0447,14.4067,45.1794
-408607,0.853082,0.472107,3,7,0,408613,0.0162622,-0.190241,-0.0815167,-0.162698,0.142161,0.717718,2.82196,1.02836,-0.693094,45.1077,14.3727,45.6562
-408611,0.849791,0.472107,3,7,0,408615,-0.00417264,-0.192496,0.241628,-0.142459,-0.0569211,0.760157,3.02561,0.99736,-0.637661,45.1033,14.4312,45.3835
-408612,0.900582,0.472107,3,7,0,408620,0.0611584,-0.201327,0.126027,-0.310008,0.158407,0.713376,2.67631,1.06381,-0.646811,45.113,14.3921,45.8126
