# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7267a81a6_model
# start_datetime = 2023-03-30 08:01:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpO6pATb/standata-6b7446d01e8.json
# init = 2 (Default)
# random
#   seed = 1498873134
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300801-1-645afd.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300801-1-6a414b.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.400018
# Diagonal elements of inverse mass matrix:
# 0.000847122, 7.77607e-05, 0.00985608, 0.0197089, 0.00983852, 0.00151633, 0.0135105, 0.00108581, 0.0425844, 0.0360419, 0.0421492, 0.0590364, 0.00215368, 1.54924e-05
-408463,1,0.400018,3,7,0,408476,0.0264921,-0.188252,0.0449216,-0.0398021,0.342341,0.737561,2.58151,1.04103,1.97985,-0.750106,-0.337646,-1.12857,45.1327,14.4113,43.3492
-408461,0.987453,0.400018,3,15,0,408467,0.0405722,-0.185983,0.0236142,0.0156455,0.123915,0.70751,2.71682,1.06378,1.78651,-0.782971,-0.676617,-1.05024,45.0538,14.3856,43.4071
-408463,0.876495,0.400018,3,7,0,408468,0.0176826,-0.181251,-0.0733312,-0.098531,0.225984,0.696704,2.64974,1.12176,1.63906,-0.884064,-0.819971,-1.42727,45.02,14.3924,43.3245
-408465,0.79193,0.400018,4,15,0,408469,0.0268782,-0.18468,0.0137377,-0.236384,0.240349,0.715899,2.89293,1.02661,1.85401,-1.06761,-0.583211,-1.3409,45.1863,14.3755,43.7753
-408465,1,0.400018,3,7,0,408470,0.0379635,-0.186344,0.0679665,-0.143121,0.350935,0.672688,2.96658,1.04892,1.56303,-0.834671,-0.790869,-1.15275,45.0477,14.4226,43.5666
-408462,0.998282,0.400018,4,15,0,408469,-0.00103199,-0.178833,-0.0253483,-0.124178,0.256574,0.705013,2.84957,1.05128,1.90233,-0.702881,-0.717269,-1.16114,45.0731,14.3704,43.2356
-408460,0.989062,0.400018,3,7,0,408465,-0.00315166,-0.181686,0.00563309,-0.0577435,0.288677,0.694493,2.8448,1.04855,1.92898,-0.816102,-0.634482,-0.999689,45.0607,14.3667,43.286
-408464,0.703376,0.400018,3,7,0,408471,0.0263101,-0.197023,0.0620096,0.0894697,0.188051,0.709326,2.80009,1.06136,1.82476,-0.763433,-0.578436,-0.897303,45.1454,14.4101,43.6182
-408468,0.600833,0.400018,3,7,0,408476,0.0316221,-0.176103,-0.161838,-0.268716,0.237744,0.716976,2.81602,1.04242,1.73423,-1.07727,-0.930598,-1.51486,45.0796,14.4518,43.6145
-408466,0.893608,0.400018,3,15,0,408476,0.011276,-0.175425,0.023884,-0.038899,0.130034,0.773177,2.85082,1.06748,1.50282,-1.01345,-0.600476,-1.40232,45.1352,14.3107,43.0947
-408461,0.981594,0.400018,3,7,0,408471,0.0271038,-0.186721,-0.187565,-0.0152414,0.23785,0.710574,2.70703,1.0442,1.4923,-1.11579,-0.786086,-1.40819,45.104,14.3757,43.8305
-408461,0.919025,0.400018,3,15,0,408468,0.0305418,-0.184903,-0.208887,-0.0457592,0.257237,0.710372,2.67998,1.06398,1.67417,-1.03122,-0.830309,-1.3035,45.0681,14.3635,43.6417
-408465,0.671518,0.400018,3,7,0,408471,0.0476823,-0.187676,0.0758521,-0.170325,0.413623,0.704032,2.67656,1.0897,1.46252,-1.06362,-0.737919,-1.36462,45.0292,14.3955,43.5582
-408461,0.972949,0.400018,3,7,0,408467,0.0531588,-0.187916,0.022256,-0.124511,0.343196,0.716313,2.7076,1.06647,1.72442,-1.15474,-0.842005,-1.22789,45.1059,14.4149,43.6886
-408463,0.785343,0.400018,3,15,0,408470,0.0178488,-0.172261,0.00980314,0.00943864,0.0416944,0.745272,2.72967,1.03362,1.55676,-0.906959,-0.540263,-1.35387,45.0711,14.3719,43.142
-408463,0.916112,0.400018,4,15,0,408471,0.0431001,-0.188276,-0.0025358,0.0689572,0.0142881,0.645529,2.8587,1.05643,1.67382,-0.907205,-0.527208,-1.10793,45.1272,14.387,43.8275
-408469,0.797353,0.400018,3,7,0,408474,0.0747963,-0.190251,0.129984,-0.299202,0.266738,0.702622,2.94484,1.05309,1.87949,-0.688701,-0.584411,-1.21265,44.9706,14.3905,43.4627
-408468,0.844148,0.400018,3,7,0,408477,0.0323419,-0.197571,-0.0918579,0.040975,0.125833,0.653211,2.74925,1.03729,1.80403,-0.883134,-0.436043,-0.910432,45.0127,14.3601,43.9666
-408463,1,0.400018,3,7,0,408474,0.0430268,-0.187164,0.0322276,-0.252539,0.292733,0.676069,2.80572,1.07362,1.98276,-0.755647,-0.429139,-1.01411,45.1998,14.3679,43.6396
-408464,0.853199,0.400018,4,15,0,408471,3.82876e-05,-0.173589,-0.127188,-0.104439,0.159542,0.797446,2.69048,1.05897,1.4611,-1.0152,-0.825912,-1.38676,45.0111,14.3962,43.0647
-408461,0.823531,0.400018,4,15,0,408472,0.0730387,-0.190169,0.0343531,-0.0807659,0.271054,0.690938,2.70844,1.05832,1.65762,-0.872264,-0.730255,-1.01731,45.1406,14.3848,43.7521
-408465,0.666016,0.400018,3,7,0,408469,0.0366276,-0.192649,-0.00182533,-0.233916,0.191706,0.701166,2.6377,1.06125,1.87037,-1.00534,-0.840732,-0.90381,45.1151,14.3882,43.9904
-408466,0.930987,0.400018,3,7,0,408476,0.0666806,-0.165302,0.0578468,-0.00287798,0.335343,0.705346,2.90422,1.01344,1.8274,-0.953818,-0.633026,-1.13362,45.0731,14.3763,42.8905
-408461,0.888925,0.400018,3,7,0,408471,0.0218494,-0.185808,-0.0541143,0.122372,0.15828,0.722049,2.91084,1.04212,1.70279,-0.848171,-0.536679,-1.09697,45.1064,14.3936,43.3423
-408466,0.748874,0.400018,3,7,0,408470,0.0273952,-0.188819,-0.0243766,-0.382176,0.430912,0.725636,2.6274,1.0821,1.70485,-0.94007,-0.70865,-1.22167,45.1558,14.3217,43.753
-408463,0.999396,0.400018,3,7,0,408470,-0.0324188,-0.189804,0.00896498,-0.302799,0.385953,0.715319,2.8155,1.08028,1.81714,-0.988472,-0.808312,-1.28583,45.1053,14.4128,43.6835
-408461,0.822807,0.400018,3,7,0,408469,-0.00107776,-0.192229,-0.0496427,-0.174899,0.323699,0.718914,2.64824,1.0487,1.65048,-0.878081,-0.631055,-1.05922,45.08,14.3839,43.7586
-408461,0.776358,0.400018,4,15,0,408466,0.0219408,-0.173544,-0.11068,-0.138281,0.294348,0.755909,2.73868,1.06856,1.99017,-0.848908,-0.650064,-1.07308,45.1113,14.3935,42.9738
-408464,0.913161,0.400018,3,7,0,408466,-0.00615675,-0.190983,-0.0671994,-0.0519591,0.0239621,0.743475,2.79714,1.039,1.68026,-0.621964,-0.34778,-1.10528,45.0992,14.3902,43.5316
-408464,0.917702,0.400018,4,15,0,408472,0.0503256,-0.182564,-0.0299769,-0.081805,0.405819,0.712461,2.68683,1.08497,2.22808,-0.454811,-0.154682,-0.822235,45.0971,14.3496,42.8491
-408462,0.958129,0.400018,3,7,0,408468,0.0357002,-0.178069,0.00925126,0.0135471,0.240854,0.697997,2.71229,1.07891,2.20727,-0.571433,-0.314381,-0.656932,45.0493,14.4255,42.8244
-408467,0.752562,0.400018,3,7,0,408471,0.0169312,-0.18721,-0.115559,-0.130196,0.0672418,0.741067,2.72979,1.06032,2.23762,-0.18463,0.012658,-0.676768,45.1898,14.3585,43.1217
-408465,0.911915,0.400018,4,15,0,408475,-0.00221186,-0.192353,-0.00867152,-0.199027,0.33793,0.699572,2.88308,1.0291,1.68795,-0.680542,-0.540106,-1.03905,45.0185,14.3815,43.6228
-408461,0.937892,0.400018,4,15,0,408471,0.0454096,-0.177505,-0.195887,0.0705813,0.229074,0.708365,2.65862,1.07561,1.85635,-0.839187,-0.629431,-0.988378,45.1448,14.3983,43.2207
-408461,0.995453,0.400018,4,15,0,408465,-0.0103609,-0.17644,-0.12789,-0.0440315,0.297123,0.770931,2.77984,1.05966,1.79674,-0.825661,-0.516737,-1.10611,45.1397,14.4116,42.9707
-408465,0.654735,0.400018,3,7,0,408471,0.0110429,-0.181206,0.0150917,-0.257799,0.257255,0.813877,2.74611,1.05607,1.84764,-0.89832,-0.469779,-1.40811,45.1249,14.3385,43.1246
