# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7267a81a6_model
# start_datetime = 2023-03-30 08:01:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpO6pATb/standata-6b7446d01e8.json
# init = 2 (Default)
# random
#   seed = 1498873134
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300801-3-645afd.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300801-3-6a414b.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.393777
# Diagonal elements of inverse mass matrix:
# 0.00112663, 6.35276e-05, 0.00879353, 0.0164624, 0.0100937, 0.0017946, 0.0145794, 0.000962764, 0.0374523, 0.0355456, 0.0465488, 0.057871, 0.00203582, 1.48037e-05
-408469,0.958709,0.393777,3,7,0,408474,0.0514821,-0.183353,0.0696825,0.0293522,0.228947,0.736642,2.46683,1.09452,1.17799,-1.17134,-1.00264,-1.6816,45.0934,14.3421,43.5831
-408473,0.87355,0.393777,3,7,0,408479,0.0283207,-0.175797,0.13154,-0.0287095,0.169814,0.709512,2.52825,1.08296,1.17662,-1.57823,-1.12228,-1.50304,45.0843,14.428,43.7303
-408468,0.94894,0.393777,4,15,0,408478,0.0347477,-0.182206,-0.255035,-0.306712,0.237631,0.695731,2.82278,1.03455,1.94832,-0.485645,-0.330175,-0.711507,45.1118,14.4283,43.48
-408462,1,0.393777,3,7,0,408471,0.0111038,-0.17961,-0.11829,-0.00542887,0.179301,0.774112,2.75451,1.06126,2.07638,-0.797858,-0.36153,-1.12485,45.138,14.3743,42.9881
-408467,0.680263,0.393777,3,7,0,408473,0.0148403,-0.18481,-0.183708,-0.15508,0.188446,0.70581,2.69832,1.05557,1.73513,-0.542158,-0.169949,-0.909528,45.1092,14.3488,43.4221
-408461,0.999803,0.393777,2,7,0,408469,1.73952e-05,-0.188135,-0.163203,-0.0898894,0.0420752,0.748654,2.77264,1.05146,2.03038,-0.637631,-0.304349,-1.00427,45.0964,14.3801,43.3802
