# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b744330bda_model
# start_datetime = 2023-03-30 08:11:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpO6pATb/standata-6b74b805b47.json
# init = 2 (Default)
# random
#   seed = 549394854
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300811-1-895f5d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300811-1-0f71b0.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.342056
# Diagonal elements of inverse mass matrix:
# 0.000851782, 6.74622e-05, 0.00918855, 0.0166609, 0.00992883, 0.00168348, 0.0125504, 0.00117666, 0.0523279, 0.0457613, 0.0531496, 0.0726675, 0.00175891, 1.46368e-05
-408463,0.946016,0.342056,3,15,0,408470,0.0100822,-0.182755,0.109865,-0.156783,0.164444,0.727808,2.76548,1.05127,2.0271,-0.608568,-0.405301,-1.31851,45.0882,14.3943,43.2116
-408465,0.772507,0.342056,3,7,0,408476,0.0103129,-0.196996,0.0666701,-0.18849,0.0107808,0.726881,2.86111,1.02427,1.78649,-0.849612,-0.513174,-0.86211,45.0597,14.3505,43.9073
-408464,0.942057,0.342056,3,7,0,408473,-0.0108631,-0.198673,0.0559646,-0.157929,0.0869828,0.708063,2.84268,1.01068,1.77986,-0.825909,-0.459945,-1.02753,45.0663,14.3749,44.0089
-408465,0.792048,0.342056,4,15,0,408470,0.0346983,-0.17919,-0.155216,0.103621,0.34184,0.716758,2.58747,1.0922,1.88449,-0.625171,-0.26823,-0.801562,45.14,14.3803,42.9024
-408465,0.791668,0.342056,3,15,0,408474,0.0402241,-0.175657,0.0403351,-0.00607785,0.386445,0.713676,2.63353,1.10176,1.93835,-0.793463,-0.697058,-0.682897,45.0981,14.4062,42.8601
-408465,0.986278,0.342056,4,15,0,408469,0.0121825,-0.180994,-0.168783,-0.00168856,0.0702629,0.783392,2.80149,0.998539,2.02397,-0.556732,-0.305702,-1.1832,45.11,14.3803,43.1174
