# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b744330bda_model
# start_datetime = 2023-03-30 08:11:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpO6pATb/standata-6b74b805b47.json
# init = 2 (Default)
# random
#   seed = 549394854
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300811-3-895f5d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300811-3-0f71b0.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.349562
# Diagonal elements of inverse mass matrix:
# 0.000796668, 6.81477e-05, 0.00872088, 0.0166075, 0.00873108, 0.00142318, 0.0124096, 0.000946993, 0.0452051, 0.0401347, 0.046083, 0.059404, 0.00195798, 1.43328e-05
-408467,0.962289,0.349562,3,15,0,408472,0.0506121,-0.178995,-0.271774,-0.0323658,0.138732,0.649314,2.79469,1.1522,1.81452,-0.813642,-0.706571,-1.34493,45.0932,14.3908,43.3406
-408466,0.775618,0.349562,4,15,0,408479,0.0156966,-0.186808,-0.207257,-0.0736541,0.110615,0.722493,2.77499,1.08347,1.68053,-0.912594,-0.52653,-0.798881,45.024,14.3333,43.4531
-408464,0.932744,0.349562,3,15,0,408474,-0.0336367,-0.186585,0.0164111,-0.00614896,0.161602,0.729394,2.8007,1.08076,1.71036,-0.923691,-0.79328,-1.57156,45.0532,14.4328,43.3999
-408462,0.96378,0.349562,4,15,0,408470,-0.0294884,-0.183545,-0.0336488,0.101413,0.224441,0.704612,2.7007,1.09769,1.69478,-0.939408,-0.840056,-1.24643,45.0674,14.3764,43.2989
-408468,0.900803,0.349562,3,7,0,408472,0.015298,-0.191824,-0.246135,-0.242485,0.162621,0.654384,2.57567,1.17148,1.74014,-0.841314,-0.540573,-1.23086,45.1712,14.4022,43.9001
-408466,0.984146,0.349562,4,15,0,408473,0.024226,-0.177113,0.157868,-0.0882379,0.176077,0.722226,2.96895,0.975115,1.85469,-0.685316,-0.404615,-1.00739,45.0364,14.3838,43.1511
-408460,0.94865,0.349562,3,7,0,408472,0.0116432,-0.188894,0.0338472,-0.10499,0.210588,0.72524,2.79843,1.08711,1.82254,-0.837929,-0.584484,-0.911018,45.0514,14.3924,43.3423
-408461,0.933517,0.349562,3,7,0,408466,-0.0156211,-0.186182,-0.0410108,-0.0964728,0.111653,0.720286,2.51866,1.09961,1.78799,-0.787805,-0.552287,-1.21584,45.0997,14.3775,43.479
-408463,0.876201,0.349562,4,15,0,408467,0.0368592,-0.195789,0.0299486,-0.259134,0.224487,0.71547,2.94202,1.03492,1.75531,-0.846662,-0.506912,-1.43289,45.0745,14.4328,43.8601
-408463,0.883814,0.349562,3,7,0,408470,-0.0148308,-0.18903,-0.0756101,-0.0930735,0.261271,0.718189,2.56373,1.07874,1.73451,-0.858022,-0.81372,-0.912254,45.1018,14.3543,43.6165
-408461,0.94429,0.349562,4,15,0,408467,0.0723346,-0.181719,-0.0451452,-0.0984087,0.219029,0.70158,2.79955,1.07221,2.07697,-0.637682,-0.459662,-1.07902,45.1163,14.3638,43.2092
-408463,0.970469,0.349562,3,15,0,408469,0.0529692,-0.187265,-0.217342,-0.0444036,0.079159,0.728078,2.6559,1.10826,1.76449,-0.889796,-0.528307,-1.07756,45.0534,14.3883,43.4367
-408465,0.872056,0.349562,4,15,0,408470,-0.00960517,-0.187636,-0.136545,-0.0132712,0.0875945,0.633933,2.71286,1.15041,1.82122,-0.967793,-0.504918,-1.24025,45.165,14.3852,43.7269
-408462,1,0.349562,3,7,0,408467,0.015006,-0.192864,-0.0750416,0.00934979,0.123129,0.662214,2.70594,1.14049,1.78823,-0.808976,-0.592188,-1.24779,45.1418,14.3957,43.67
-408463,0.840554,0.349562,3,7,0,408470,0.0440234,-0.181667,-0.0316551,-0.0224016,0.182463,0.711255,2.85789,1.10516,1.82056,-0.969034,-0.640305,-1.31153,45.0476,14.4376,43.1907
-408461,0.995432,0.349562,4,15,0,408467,-0.0248413,-0.195772,-0.0297691,-0.231482,0.174175,0.754175,2.7834,1.07405,1.66018,-0.952476,-0.770504,-1.19544,45.1428,14.3776,43.8551
-408464,0.998696,0.349562,4,15,0,408467,0.0684121,-0.177401,-0.0687165,0.162048,0.276097,0.7316,2.71306,1.07719,2.25874,-0.516099,-0.235081,-0.628508,45.0645,14.4056,42.5411
-408470,0.814103,0.349562,3,7,0,408474,0.0098417,-0.177663,0.0189401,0.143885,0.297127,0.687771,2.53262,1.04515,2.39838,-0.263753,-0.0556771,-0.792464,45.081,14.413,42.6975
-408472,0.959168,0.349562,4,15,0,408480,0.00345865,-0.189699,0.113611,-0.357678,0.137921,0.721876,3.03332,1.08212,2.14548,-0.400954,-0.0835746,-0.376096,45.0692,14.3682,43.1194
-408474,0.860856,0.349562,4,15,0,408484,0.0127881,-0.179944,0.0533633,0.0175625,0.0791036,0.684815,2.60958,1.04989,2.44869,-0.374803,0.0493125,-0.930621,45.2283,14.4355,43.1167
-408471,0.903097,0.349562,4,15,0,408489,0.000145075,-0.18054,-0.131722,-0.173028,0.376472,0.71649,2.67005,1.04459,1.25657,-1.22814,-1.03874,-1.81407,44.9678,14.4259,43.7147
-408463,0.94472,0.349562,4,15,0,408478,7.97957e-05,-0.191499,-0.0690411,-0.129507,0.268656,0.785173,2.60385,1.10361,1.77565,-0.889349,-0.782512,-1.07906,45.0842,14.3471,43.3596
-408463,0.998917,0.349562,3,15,0,408466,0.0514517,-0.177873,0.00280745,-0.0266214,0.291746,0.663373,2.76855,1.05164,1.82668,-0.720951,-0.485635,-1.24092,45.1302,14.4157,43.3209
-408464,1,0.349562,4,15,0,408469,-0.00192231,-0.191064,-0.099492,-0.265364,0.0715111,0.78222,2.66265,1.05956,2.0563,-0.592796,-0.373284,-1.17517,45.0504,14.4311,43.4046
-408463,0.930748,0.349562,4,15,0,408469,-0.0345737,-0.190044,-0.155636,-0.175747,0.0654064,0.715227,2.67912,1.10483,1.88563,-0.632218,-0.341992,-0.965848,45.1019,14.3335,43.5095
-408463,0.712783,0.349562,3,15,0,408473,0.0479423,-0.185333,-0.151055,-0.0185304,0.250272,0.72966,2.84686,1.03634,2.05623,-0.79025,-0.452843,-1.05671,45.0982,14.444,43.3146
-408465,0.941367,0.349562,3,7,0,408467,-0.0175648,-0.186474,0.119604,-0.217397,0.326158,0.723879,2.7272,1.03838,1.82041,-0.85342,-0.417662,-0.945014,45.1057,14.3275,43.4753
-408466,0.992539,0.349562,4,15,0,408475,0.0306776,-0.181337,-0.115013,-0.0636665,0.194866,0.816746,2.7769,1.02114,2.28399,-0.450932,0.0172136,-0.752965,45.1297,14.372,42.7137
-408466,0.88867,0.349562,4,15,0,408474,-0.0182967,-0.172103,-0.186668,0.117715,0.157572,0.712719,2.53277,1.11446,1.87792,-0.921381,-0.483302,-0.916991,45.0896,14.4085,42.9196
-408461,1,0.349562,3,7,0,408468,0.00977126,-0.183804,-0.126641,0.0449632,0.214831,0.753514,2.66473,1.06731,1.91622,-0.62958,-0.519044,-1.10764,45.069,14.373,43.0571
-408461,0.976701,0.349562,4,15,0,408466,0.0134781,-0.19222,0.0349939,-0.145448,0.244109,0.719443,2.81664,1.06547,1.40467,-1.25946,-0.937356,-1.26881,45.1357,14.394,43.9898
-408463,0.988532,0.349562,4,15,0,408468,-0.00171164,-0.191281,-0.130772,-0.118919,0.318752,0.6983,2.56332,1.13736,1.85223,-1.02213,-0.741251,-1.49578,45.1015,14.3747,43.6594
-408463,0.999162,0.349562,4,15,0,408467,-0.0278918,-0.180848,-0.0656562,-0.146728,0.210665,0.738148,2.59182,1.12773,1.6485,-0.929141,-0.696676,-1.09326,45.1645,14.385,43.315
-408463,0.939202,0.349562,4,15,0,408469,0.0563459,-0.180133,0.0870796,-0.139735,0.17469,0.706026,2.91297,1.02159,1.87155,-0.832948,-0.484956,-0.848615,45.0407,14.4006,43.3115
-408466,0.869968,0.349562,4,15,0,408471,0.00472107,-0.189837,-0.0316437,-0.238806,0.09854,0.679088,2.73355,1.1611,1.8226,-1.11034,-0.770854,-1.4404,45.1051,14.3842,43.7859
-408464,0.976272,0.349562,4,15,0,408471,0.0252459,-0.173495,0.0178846,0.0250542,0.38901,0.785481,2.86271,0.992333,1.82136,-0.735681,-0.62946,-1.15866,45.1062,14.3831,42.8024
-408463,0.981494,0.349562,4,15,0,408470,0.0362851,-0.200512,-0.0209403,-0.164579,0.0480735,0.678585,2.70492,1.10214,2.00742,-0.547006,-0.358326,-1.05372,45.1334,14.3633,43.8674
-408462,0.866321,0.349562,4,15,0,408471,0.0215222,-0.168863,-0.0897622,0.120046,0.341409,0.74397,2.81724,1.04579,1.88947,-0.789146,-0.625861,-0.96785,45.0702,14.4066,42.6305
-408460,0.998712,0.349562,4,15,0,408464,0.0124951,-0.184549,-0.104698,-0.129377,0.120509,0.727376,2.75521,1.03071,1.91658,-0.649751,-0.404175,-1.05704,45.1117,14.3671,43.4615
-408464,0.847426,0.349562,3,7,0,408468,-0.00339579,-0.182465,-0.181916,-0.0610793,0.260167,0.800337,2.65015,1.07155,2.01836,-0.483657,-0.287719,-0.761156,45.1501,14.4029,42.8323
