# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7e74943c_model
# start_datetime = 2023-03-30 08:16:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpO6pATb/standata-6b76b52411c.json
# init = 2 (Default)
# random
#   seed = 708574377
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300816-1-3ff3cc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300816-1-42cd99.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.369919
# Diagonal elements of inverse mass matrix:
# 0.000978229, 5.9292e-05, 0.00945803, 0.0159232, 0.00992416, 0.00142699, 0.0128415, 0.00104666, 0.0416525, 0.0315736, 0.0370257, 0.0532227, 0.00242375, 1.5075e-05
-408466,0.847784,0.369919,4,15,0,408472,-0.0141096,-0.194694,-0.115381,-0.506789,0.277411,0.747008,2.67069,1.06962,1.92297,-0.674403,-0.600561,-1.06969,45.1477,14.415,43.8769
-408465,0.930727,0.369919,4,15,0,408474,0.0129504,-0.193912,-0.0580762,-0.0602215,0.098362,0.659691,2.63804,1.13121,1.81157,-0.80266,-0.713388,-1.18323,45.0877,14.3194,43.7853
-408462,0.994348,0.369919,3,15,0,408468,-0.00405601,-0.182028,-0.0916778,-0.0865372,0.137607,0.685736,2.78773,1.10995,1.85244,-0.922275,-0.443169,-1.33772,45.1366,14.4142,43.4268
-408462,0.828675,0.369919,4,15,0,408469,0.0026426,-0.182379,0.124689,-0.121789,0.132526,0.763766,2.81615,1.05059,1.6724,-0.926366,-0.619163,-1.42962,45.1017,14.4171,43.316
-408459,0.956983,0.369919,3,7,0,408464,0.0282605,-0.184739,0.0605778,-0.0929687,0.224199,0.735789,2.79418,1.05775,1.7831,-0.831152,-0.607196,-1.16158,45.1022,14.343,43.3336
-408462,0.709654,0.369919,3,7,0,408467,0.0472353,-0.184453,-0.082039,-0.199774,0.3235,0.766169,2.58221,1.05628,1.75366,-1.03311,-0.658305,-1.03584,45.1266,14.4077,43.5
