# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7e74943c_model
# start_datetime = 2023-03-30 08:16:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpO6pATb/standata-6b76b52411c.json
# init = 2 (Default)
# random
#   seed = 708574377
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300816-3-3ff3cc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300816-3-42cd99.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.359222
# Diagonal elements of inverse mass matrix:
# 0.00098683, 6.60431e-05, 0.00828526, 0.0148078, 0.00963282, 0.00159631, 0.0141535, 0.00106813, 0.0429117, 0.0398184, 0.0462127, 0.0578599, 0.00212601, 1.61459e-05
-408462,0.847649,0.359222,4,15,0,408465,0.0312298,-0.185778,-0.129303,0.0832214,0.233281,0.667893,2.66741,1.09387,2.022,-0.59955,-0.516474,-1.06187,45.0957,14.3823,43.2957
-408465,0.902538,0.359222,4,15,0,408469,0.0218888,-0.197387,-0.0299591,-0.0551537,0.240998,0.63981,2.61667,1.10897,1.92343,-0.861305,-0.492814,-0.94078,45.1254,14.4575,43.9133
-408465,0.982681,0.359222,4,15,0,408471,0.048874,-0.174743,0.0740164,-0.11456,0.141917,0.776276,2.93584,1.01744,1.98613,-0.715767,-0.3343,-1.09766,45.0702,14.4277,42.8499
-408463,0.991162,0.359222,4,15,0,408469,0.0150378,-0.191267,-0.167267,-0.0535516,0.25529,0.676297,2.63951,1.13474,2.02457,-0.806679,-0.628063,-1.14762,45.1346,14.4328,43.5714
-408462,0.965795,0.359222,4,15,0,408472,0.030325,-0.191653,-0.140679,-0.0104108,0.138394,0.645776,2.85782,1.09268,1.83712,-0.77782,-0.529076,-0.876625,45.1385,14.4213,43.7537
-408465,0.847153,0.359222,3,7,0,408472,0.0872399,-0.181302,-0.219227,-0.0207733,0.101831,0.666915,2.88384,1.07123,2.05822,-0.674678,-0.353424,-0.963739,45.1209,14.3613,43.3661
