"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-316657.14425,-316544,234.685894994277,14.826,-317140.25,-316530,2.52397418562578,4.80879469350736,11.4210656075767
"2","alpha",38.660337085,46.80685,14.7435764622344,1.71477516,11.064535,48.5786,1.91940331857088,5.60655455506953,11.4210656075767
"3","beta[1]",-2.0172086064125,-1.257025,1.77086068206917,1.272775035,-5.7146795,0.1179241,2.22406495017125,5.16150586003177,15.5369515397248
"4","beta[2]",-0.69061494220775,-0.6599365,0.552778846596635,0.7770669837,-1.6812155,-0.093282695000001,1.78928856631751,6.045478384778,16.6727939555126
"5","beta[3]",0.9737938577275,1.136595,1.29623234232327,1.1078543175,-1.3055145,3.401871,2.96304384054956,4.57231105933188,11.1314564192796
"6","beta[4]",-0.141352700853425,-0.17405,1.12435257343122,1.5299683287,-1.382771,1.9064275,3.12203122719439,4.51913249825846,12.6192836581223
"7","beta[5]",-1.26489514534875,-1.03158,0.968279023951178,1.0870823502,-3.000953,-0.254201,1.8377211517236,5.8796100985853,27.0350858439607
"8","beta[6]",1.132214699,1.2556,1.05669359557138,0.632195466,-0.60379515,2.68472,3.25013413855048,4.48867673306394,11.4541496301015
"9","beta[7]",-0.177739939244525,1.1685295,2.03974834596996,1.5531428493,-3.131752,2.0734395,2.31892482090746,5.01462895819807,11.6735418096427
"10","beta[8]",-1.156807121729,-1.47168,0.943911854669973,0.549770319,-1.951997,0.87090955,2.80131717043272,4.92692825619176,13.8258172619419
"11","beta[9]",0.00395140401974999,0.66592,1.11875559337569,0.898025646,-1.757317,1.274775,2.63143839015346,4.77258373714868,12.3659330359828
"12","beta[10]",-0.270789407935,-0.5064545,1.00526141024525,0.9973680003,-1.4089125,1.1687325,1.75310969964391,6.10756742264662,16.5572098146027
"13","beta[11]",0.925296204095,-0.501157,2.02307230013049,1.6840972008,-1.623765,4.2072935,3.11868004284921,4.51029670995826,11.6116096494049
"14","beta[12]",1.072031507675,1.20868,0.961296700494661,0.50994027,-1.0497935,2.316719,1.73023896317759,6.74645637835454,16.2609031209949
"15","beta[13]",0.25104188575,-0.208294,1.20410944809331,1.0855656504,-0.9534754,1.9996195,2.2598885358457,5.08022297129372,30.0530682092705
"16","beta[14]",0.44997000772625,0.2042215,1.13145091130667,1.3020971565,-0.8136502,2.37838,1.94628675234373,5.5736637992038,11.7895465667621
"17","beta[15]",0.4647627759425,0.594305,0.590140667404989,0.4239116637,-0.56773995,1.170742,2.87827913532468,4.8236706081144,14.5167612131906
"18","beta[16]",0.38939546875,0.4083075,1.23865558725091,1.8183933327,-1.0698115,1.80053,2.98436203823263,4.56884153655664,13.3159628026429
"19","beta[17]",0.172258779745,-0.200485,1.51577564001276,1.4683981746,-1.5031965,3.401984,3.06921191231302,4.53319932330894,12.2097639759991
"20","beta[18]",0.813361395045,0.7659795,0.820381172954279,1.07517959262,-0.2348996,2.13202,2.05347503380159,5.38865101812832,17.5093355768391
"21","beta[19]",-0.44159410250325,-0.660176,0.629442823565028,0.4167840642,-1.147782,1.150711,2.91355659803492,4.59177684697514,11.3776639620219
"22","sigma",14.389147125,14.377,0.0533538592353749,0.0364719599999993,14.3222,14.4995,1.32830565893924,10.187232325515,11.0200646211828
"23","tau1[1]",1.4087874310425,1.35972,0.892173149813318,0.84493374,0.073322055,2.7875,2.88754585573868,4.64326411048662,15.9424263121561
"24","tau1[2]",0.390385866725,0.169202,0.307949836654784,0.0411036024,0.143324,0.9485464,3.25598834289344,4.86326148460763,11.106470555183
"25","tau1[3]",0.746349023125,0.611231,0.638612266640991,0.77802867219,0.052528345,1.719632,3.04137834355328,4.56099810136673,16.9009870583247
"26","tau1[4]",0.9319610585,0.3388015,1.01708647276928,0.2897682396,0.13890145,2.70127,2.67215382429429,4.76240416643425,11.7113429129834
"27","tau1[5]",0.76198604795,0.426532,0.698826566633163,0.3174758097,0.13993005,2.025921,1.75610936762608,6.08181714035704,11.3456117696312
"28","Z1[1,1]",0.20085947646575,0.238102,1.18244042780432,1.9977560568,-1.5569575,1.6961955,2.28653278850234,5.03697730147133,14.6846564888771
