"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_Intercept",38.2171943125,44.96635,15.1468554262663,5.94485535,9.577835,53.32758,1.59397614714641,7.6870133227067,25.0580814658835
"2","b_NU_IDADE",-0.248022168,-0.2481045,0.00738461616773426,0.00695561790000002,-0.26004935,-0.2355717,1.07948895569846,37.3704825440507,191.583871894009
"3","b_TP_SEXO_MASC",1.3429892525,1.342465,0.0944562296092441,0.094523163,1.1894205,1.498132,1.02489109577228,123.606502556066,236.726805773721
"4","b_QE_I01_SOLTEIRO",-0.63900076675,-0.637962,0.113424092282673,0.1147421205,-0.822541,-0.4658428,1.01710211106975,233.543829044746,482.483804948907
"5","b_QE_I02_BRANCA",0.82002170975,0.8242545,0.085132277696958,0.0799551354,0.6745399,0.9581203,1.03130050535359,129.289181672459,282.285404202072
"6","b_QE_I05_NUM",0.261419765,0.262488,0.0432758969353804,0.0436870329,0.1874194,0.33059505,1.09433397340899,39.7405465902807,152.564639347245
"7","b_QE_I17_PRIVADO",1.55557327,1.554525,0.107645207704024,0.11475324,1.386337,1.731132,1.04073132022216,112.019801383797,347.949509318652
"8","b_QE_I08_NUM",0.98339913675,0.9834165,0.0291270053439008,0.0279670251,0.9348717,1.0306565,1.01086471099744,181.987308254778,263.968134319234
"9","b_CO_REGIAO_CURSO",-0.063215480589035,-0.0652683,0.0445814160915994,0.04343884566,-0.13250225,0.0154617549999999,1.0359720714581,143.623000124869,318.698751223735
"10","sd_CO_CATEGAD_PRIVADA__Intercept",4.12759832375,2.910365,4.36221440919722,2.211305313,0.54343105,11.45302,1.06723377198795,46.0779931019079,65.7065512539318
"11","sd_CO_CATEGAD_PRIVADA__tech",1.25778155336325,0.96797,1.1709037090952,0.7606760994,0.1765669,3.32727549999999,1.01672912085133,122.92282524538,146.593671314111
"12","sd_CO_CATEGAD_PRIVADA__pedag",1.7869495286125,1.51398,1.35928023343247,1.023283107,0.2365874,4.2736375,1.04273032112672,80.8191672780677,111.910538274724
"13","sd_CO_CATEGAD_PRIVADA__content",1.7883061759,1.422,1.24538816984312,0.8360225727,0.58756295,4.250562,1.05046924627138,115.440237329321,256.575273258288
"14","sd_CO_CATEGAD_PRIVADA__tech:pedag",0.9251510844825,0.627977,1.07056800017322,0.3874434102,0.1814876,2.4255935,1.15913302092826,18.5940960695999,46.4937807520789
