"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-316543.361,-316543,4.91769508319017,4.4478,-316552,-316536,1.01209661398688,310.650271879819,649.574174574025
"2","alpha",42.923018075,42.8821,1.29908752499021,1.27518426,40.86379,45.20456,1.07211877674802,45.5554171909034,86.492173337209
"3","beta[1]",0.062586047915325,-0.01874835,1.61364742170415,1.29013012821,-2.55368,2.813501,1.0307991762747,241.350966131695,328.726054626106
"4","beta[2]",0.223372397199,0.346228,1.60971031834633,1.3398063462,-2.197023,2.7128515,1.02146560105623,332.291039660579,253.123331957748
"5","beta[3]",-0.2319929308066,-0.293948,1.62485969221368,1.4028390852,-2.8706635,2.60344199999999,1.0193647322576,143.834235988583,296.865191818299
"6","beta[4]",-0.18650187275,-0.1862285,0.00788762763852341,0.00805125930000003,-0.1997551,-0.17431165,1.00756051824112,294.948747477188,233.015315075581
"7","beta[5]",-0.0666275544539,-0.0657382,0.0972081079908589,0.0972728107512,-0.23080625,0.0902829,1.0062806679621,560.126424925858,1009.30965766388
"8","beta[6]",-0.10381418202025,-0.1047405,0.133835911116481,0.13988716476,-0.32511775,0.11480185,1.00849995035914,425.0329896066,827.818579451382
"9","beta[7]",0.2316467515751,0.2361265,0.102016842638673,0.0991570293,0.061124055,0.39371515,1.01102955111338,550.376106390784,876.315910613853
"10","beta[8]",0.6945953275,0.6944945,0.0407734797541436,0.0409249491,0.62934455,0.76318715,1.00636736799857,340.830532093728,896.380355864143
"11","beta[9]",2.7136991725,2.71545,0.117246365714075,0.119593929,2.518781,2.9073675,1.01592293919054,360.464935772605,855.857671948803
"12","beta[10]",1.051968525,1.051565,0.0315843759650028,0.0321353550000002,1.000783,1.1041515,1.01441370985898,384.699470214875,934.127764805837
"13","beta[11]",0.25396123743925,0.2512375,1.22146246538791,1.2338975565,-1.8972035,2.1524185,1.07364800278799,42.1158328414937,74.4845161421824
"14","beta[12]",1.984857727379,1.988885,1.21501376652017,1.230550587,-0.1795651,3.8731955,1.07441465949535,42.0937888272257,76.7400671797371
"15","beta[13]",-0.670449626525,-0.656629,1.2141532986996,1.2179292132,-2.8095835,1.2131885,1.07551888430629,40.6297613332046,72.8432236420945
"16","beta[14]",-0.401712287407475,-0.391245,1.21375767872605,1.222855893,-2.527699,1.4973455,1.07580046158646,40.5213520495364,73.8973298250852
"17","beta[15]",-0.92873095173625,-0.925448,1.22309988044069,1.24518273705,-3.060359,0.983413849999999,1.07420918574009,41.8714581424591,76.2914418882261
"18","sigma",14.37857455,14.3791,0.0327228960252385,0.0321724200000014,14.324695,14.431705,1.00090438436496,1465.93693563828,1788.92429361375
"19","tau1[1]",0.71013779930875,0.624582,0.526287314414099,0.5395077618,0.04242832,1.6601975,1.01914992901969,204.125715792865,169.482933985282
"20","tau1[2]",0.73753563272,0.6650775,0.50076455440917,0.5280554181,0.063585565,1.67164,1.02097298317996,275.90624668862,346.654592880636
"21","tau1[3]",0.68683355304,0.6064355,0.50273686789356,0.5179440861,0.038708635,1.651372,1.03401823499523,128.391328531202,97.5628618990248
"22","tau1[4]",0.71644784588,0.612663,0.530669476160071,0.5254719876,0.067087335,1.762782,1.03956308407363,223.746852625311,259.236807900299
"23","tau1[5]",0.6856559051765,0.5969435,0.51652486913797,0.554707377,0.01884803,1.635951,1.04573414977821,115.477075087521,64.6339410507207
"24","Z1[1,1]",-0.04618357828725,-0.0352443,0.975591401526497,0.97809672072,-1.615337,1.5984785,1.00385908011079,378.960384838391,788.601781641584
"25","Z1[2,1]",0.08942507422775,0.0719371,0.926070100595837,0.8947491,-1.463663,1.585721,1.01911858720163,271.556133964093,741.827245176282
"26","Z1[3,1]",-0.042373917702175,-0.0406471,0.901501037595163,0.8752054668,-1.541091,1.4481615,1.01205679491371,274.892497921296,703.233048081804
"27","Z1[1,2]",-0.118891197923,-0.08921305,0.87937817265804,0.8830076493,-1.5751075,1.249512,1.00948411475796,330.722968016076,619.474038820101
"28","Z1[2,2]",0.08855775141625,0.10065,0.946534476578622,0.9490537728,-1.473602,1.6190865,1.00993111404256,373.829979709806,681.664853343593
"29","Z1[3,2]",0.02210605331175,0.0808877,1.01107609071785,1.00341745308,-1.7111645,1.59631,1.00442712191529,293.217375225672,584.353939382836
"30","Z1[1,3]",-0.05751521585685,-0.04975985,0.961574853073173,0.94284412509,-1.602508,1.5029065,1.00499549040938,277.839508568997,571.037447563404
"31","Z1[2,3]",0.051463766911,0.0546939,0.9659620967752,0.9610420764,-1.617433,1.5829835,1.00913836091189,391.338252771321,652.489127420228
"32","Z1[3,3]",-0.01638862558875,-0.006207355,0.986923123734221,0.961654605177,-1.6457475,1.55964,1.01961266001769,311.06477832627,468.54822069583
"33","Z1[1,4]",0.01960819652775,0.00590053,0.983759325902808,0.9583845159,-1.602349,1.5868205,1.00329028530671,314.062303933284,594.222271706904
"34","Z1[2,4]",0.0141681462255,0.0299849,0.953883228601826,0.9562962738,-1.61413,1.550998,1.01782136437281,384.440945011511,578.990648851553
"35","Z1[3,4]",-0.05248679984925,-0.0556897,0.990024831051194,0.9772758051,-1.6400295,1.5936825,1.00754938179785,487.830479818779,839.260825158287
"36","Z1[1,5]",-0.02261033785625,0.0029016,0.914492988805438,0.8533200669,-1.557191,1.3856625,1.00480637467347,479.538387876369,836.208256087042
"37","Z1[2,5]",0.002221337507,0.01532165,0.94722327314014,0.93168118491,-1.562018,1.5614695,1.00979769727266,440.759078802293,782.96954400584
"38","Z1[3,5]",-0.044650758437,-0.07319255,0.963860054729977,0.95003903463,-1.6049465,1.606603,1.00561891257791,376.404427050565,603.7715703796
"39","betaj1[1,1]",-0.0822439679788,-0.00581574,0.768629601076682,0.4873817697,-1.4419225,1.1535055,1.00696233178845,376.648647470464,412.083436498085
"40","betaj1[2,1]",0.105549793146825,0.0193126,0.732924093339171,0.4556741448,-0.99853645,1.4302245,1.02087638423684,252.719463972586,355.210954206439
"41","betaj1[3,1]",-0.033195874691575,-0.00799423,0.675281020299662,0.440268848502,-1.1704315,1.107892,1.00801619183856,267.359364353078,508.634273914124
"42","betaj1[1,2]",-0.0900897285438925,-0.0268035,0.715331966841081,0.4735854354,-1.331833,1.0381415,1.0096829143914,318.039669985968,491.119717379754
"43","betaj1[2,2]",0.07378527945685,0.0299083,0.71041548318825,0.50694067368,-1.084799,1.354842,1.00897736614184,388.477539108509,669.295322236024
"44","betaj1[3,2]",0.009297496404875,0.01888865,0.76323645622404,0.57443611281,-1.3614115,1.237766,1.01620107839244,274.989038920983,468.188551044274
"45","betaj1[1,3]",0.00601937048575,-0.00554341,0.69679556066136,0.4605593118,-1.1147725,1.206399,1.01368863335197,334.700904957697,608.737158923295
"46","betaj1[2,3]",0.053768779914245,0.00891278,0.715535817310239,0.4657484118,-1.09797,1.300689,1.01974745119126,409.409631455166,567.1802651151
"47","betaj1[3,3]",-0.01860407032478,-0.0006138845,0.72728305941111,0.4750140917403,-1.288615,1.260436,1.02440279358153,286.92292454406,412.903922217033
"48","betaj1[1,4]",0.015714594570375,0.001640945,0.817367375761621,0.4953388839,-1.260252,1.409447,1.0163899045384,279.583230729656,276.542843394154
"49","betaj1[2,4]",0.0308208114722,0.007958075,0.762274827648519,0.4775721468,-1.1820825,1.326706,1.02034173725108,353.982991199149,580.184311222267
"50","betaj1[3,4]",-0.055138339124925,-0.01067755,0.764451970235133,0.5079350535,-1.393338,1.210906,1.01183260522453,397.451044997432,613.10584148068
"51","betaj1[1,5]",-0.00470011296915975,3.939495e-05,0.693269275908301,0.41314931455287,-1.169476,1.2221515,1.02289992270456,445.930297967459,712.109813270786
"52","betaj1[2,5]",-0.0079025895836425,0.000307659,0.672109096570092,0.4374379290666,-1.13846,1.1374485,1.02882840620076,415.210794304257,671.705879398217
"53","betaj1[3,5]",-0.04019586463795,-0.005683295,0.732321659054322,0.4449905292,-1.2933755,1.181994,1.01906752089753,369.847133125456,642.856457561186
