"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-317055.66,-317055,3.87138824089343,4.4478,-317062,-317050,1.001844904154,1443.91924463903,2485.26440671856
"2","alpha",40.5474541,40.5614,3.21061768655433,2.62412787,35.29151,45.77426,1.00338783341953,1784.13250450316,1738.6965653665
"3","beta[1]",0.69156598835,0.6905355,0.200085430935597,0.2046788604,0.3664798,1.0217035,1.00168463652674,2641.19872067333,2766.2772162154
"4","beta[2]",-0.150920261485,-0.150755,0.0397064430271229,0.0400806084,-0.21535465,-0.087377495,1.00145437986847,2440.67268975298,2504.11114640222
"5","beta[3]",-0.0152531722300942,-0.01528135,0.0354598253275634,0.03675246792,-0.07389607,0.04139363,0.999896553928655,2847.3731413385,2898.27859907252
"6","beta[4]",0.39943484682075,0.400406,0.183235518837042,0.1878832263,0.10250715,0.69693905,0.999969466837691,3001.99079015585,2872.24606010502
"7","beta[5]",0.1589804079,0.158811,0.040533330059121,0.0414097593,0.091958615,0.22628475,1.00093080229766,2357.07679910388,2567.28068210821
"8","beta[6]",-0.95461911025,-0.952756,0.196300799216822,0.1986002004,-1.2867865,-0.6415621,1.00131280324424,2505.22892839325,2794.97833544829
"9","beta[7]",-0.25161487,-0.2515865,0.00771010053583403,0.00770803740000001,-0.2644926,-0.23891535,1.00151383128654,5346.91232182537,3584.30252689411
"10","beta[8]",1.0117912675,1.0121,0.0986916417200985,0.0994676340000001,0.84928445,1.1704985,1.00016111173574,5260.64796793625,2997.58701140128
"11","beta[9]",-0.7036876115,-0.7014155,0.130645673766809,0.1273457031,-0.91820525,-0.4871321,1.00120123451177,5122.52078021385,3139.19738498321
"12","beta[10]",0.65219037875,0.6526705,0.10318339442128,0.1017204447,0.4789591,0.8224283,1.00006341774906,5486.92801266226,2921.43056345786
"13","beta[11]",0.154607742025,0.154643,0.0426188962500503,0.0442993467,0.08641083,0.2239991,1.00059501022038,5113.90812259173,3009.84956679578
"14","beta[12]",1.259982452,1.26077,0.112269349355131,0.112922229,1.0750145,1.4433125,1.00057174247609,4902.54177245485,3175.90143547547
"15","beta[13]",0.94690588875,0.947764,0.0330632124254563,0.0327639774000001,0.8923397,0.99982135,1.00052435711075,5397.37884425377,2955.91826334972
"16","beta[14]",1.767889575,1.768125,0.122809447068789,0.118407849,1.560376,1.9686155,1.00007115430063,4155.25972085182,3307.30058642131
"17","beta[15]",19.963519525,19.9653,0.174049227087157,0.175539839999999,19.67919,20.25251,1.00140823997558,4123.2099755052,3405.16112971265
"18","beta[16]",7.5678876125,7.569695,0.15913414488928,0.159431391,7.3041295,7.8319615,0.999787525289103,3904.21654335884,3121.03484062482
"19","beta[17]",-0.600928934035,-0.600668,0.244046496960281,0.248454108,-1.003161,-0.197094,0.999760273685654,5200.53468420794,3114.09077123921
"20","sigma",14.45307025,14.45325,0.0313530799737994,0.0320982899999989,14.403,14.504205,1.00069190486245,5139.24081436194,2366.79523590307
"21","tau_1",2.1322648465,1.899935,0.944249134232617,0.637599543,1.1584145,3.9109255,1.00128435335033,1575.53387714119,2311.07310362322
"22","z_1[1]",-1.4178542129375,-1.39688,0.67201313997641,0.6625324272,-2.539411,-0.31891455,1.00150467039175,1467.61823594842,2250.81327461846
"23","z_1[2]",0.623685331573,0.6220855,0.486529945295061,0.4828961634,-0.16513275,1.427738,1.00070672011941,1519.33249608625,2150.3274006856
"24","z_1[3]",0.796928744324,0.7873345,0.51188377951376,0.5033397348,-0.027077705,1.645817,1.00033697350267,1559.69023519192,2216.63662393894
"25","z_1[4]",0.576808383123325,0.5754805,0.481106424838001,0.477085854,-0.20057075,1.3681495,1.0010044173751,1551.96324924642,2168.44040630736
"26","z_1[5]",-0.58863756209285,-0.5983595,0.501019905309517,0.494921532,-1.398456,0.253486,1.00089923611421,1443.59420869206,2380.04314401168
"27","tau_2",4.1095919715,3.33376,2.56502108285102,1.769572056,1.5752655,9.6088915,1.00102472477344,2156.44028193812,1679.2019941507
"28","z_2[1]",0.78642277947,0.7719165,0.787262585386293,0.7952970333,-0.4661899,2.1402715,1.00138976882485,2385.83234455802,2341.79751897749
"29","z_2[2]",-0.73657955622575,-0.7198725,0.77872561771159,0.7615930875,-2.0782095,0.49168005,1.00363460393002,2340.07042186969,1960.89372699324
"30","alpha_j_1[1]",-2.61708704017,-2.628655,1.05721095570211,0.848321481,-4.26669,-0.932725100000001,1.00059368991642,1488.01580335877,2211.41886272367
"31","alpha_j_1[2]",1.18309882609275,1.15498,1.05004172988408,0.8341819248,-0.40123285,2.8785605,1.00056562689022,1462.00615004506,2111.47086891359
"32","alpha_j_1[3]",1.50513451599725,1.4808,1.05077842176685,0.8382071838,-0.0695038,3.211431,1.00080207616902,1472.01406406935,2266.63631927057
"33","alpha_j_1[4]",1.0973217342357,1.060265,1.05497777956874,0.8483540982,-0.4798865,2.795909,1.00096050305056,1513.31304539035,2264.50450226519
"34","alpha_j_1[5]",-1.07277767338007,-1.10582,1.05686768552015,0.845408172,-2.685092,0.63951385,1.00057489478286,1483.75473418577,2128.30225874634
"35","alpha_j_2[1]",2.422477899975,2.434855,3.03626481660544,2.2891536738,-2.5004825,7.49579,1.00459658079905,1797.88584602609,1708.05418257296
"36","alpha_j_2[2]",-2.2359270608325,-2.224335,3.03563196170687,2.2776583347,-7.1676815,2.801011,1.00461534520221,1798.10438161814,1700.56578578787
