"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-330739.7295,-330740,3.63354240481681,2.9652,-330746,-330734,1.15393848366909,71.184887919805,1188.47481618487
"2","alpha",57.133419925,48.12815,17.9845392525877,4.78182978,41.2911,87.8376,1.53740609392609,7.11603037723607,53.072818251081
"3","beta[1]",0.3545081421765,0.422375,0.197876883316342,0.1609050954,-0.00175714599999999,0.66443035,1.27977748948907,96.200639602622,2535.0783536272
"4","beta[2]",-0.13399475814225,-0.13573,0.0373218607116873,0.0274495977,-0.19852075,-0.0701479550000001,1.48398857337506,2381.67267443129,1985.61577267029
"5","beta[3]",0.019210034585625,0.0120647,0.0345975872083689,0.025416263691,-0.037437055,0.081055595,1.51645855240159,1632.30616702205,1745.48231853192
"6","beta[4]",0.5827034055525,0.528176,0.182903642302031,0.1364295933,0.3163796,0.91643825,1.11989984661672,57.3290484623396,2005.57502079389
"7","beta[5]",0.1078254090865,0.116822,0.0390328910649511,0.0304044195,0.03777828,0.1716534,1.50162075946832,1417.89133197803,2199.98361683719
"8","beta[6]",-1.171961714,-1.207235,0.189396559790201,0.138801012,-1.490145,-0.8349516,1.49052959360647,1737.64609373011,1600.8016833982
"9","beta[7]",-0.24436617075,-0.2469315,0.0081511829075167,0.00651973350000004,-0.2569955,-0.2299565,1.26390125676964,118.30440546484,2036.82673990016
"10","beta[8]",2.5115700375,2.4871,0.163685549451527,0.181359045,2.2606755,2.73735,1.52336659967849,7.20813460846486,15.7802017632933
"11","beta[9]",-0.345740859805,-0.367535,0.129927579865327,0.1021563291,-0.56284315,-0.11474075,1.49318239696516,2800.77488077004,2378.19326032616
"12","beta[10]",0.59417008925,0.580064,0.122229934808342,0.1364599866,0.444503,0.8077461,1.14652542117414,18.0064045441837,2015.45734881002
"13","beta[11]",0.52848133675,0.5315845,0.0421639773017718,0.0311798193,0.45238105,0.6006614,1.46601835924575,3127.80594161798,1899.83128198149
"14","beta[12]",2.365389125,2.397485,0.122058887179383,0.095375658,2.1432035,2.5400725,1.07516604142693,40.6487818152249,1850.16203295474
"15","beta[13]",1.04894204875,1.05181,0.0471191245650725,0.060927447,0.990213,1.1262,1.41939102248009,8.16656128555448,33.3628813615466
"16","beta[14]",5.4527695325,5.43664,0.145428624251364,0.172574639999999,5.2878055,5.708882,1.17310663697691,15.4533043642587,2074.620428151
"17","beta[15]",2.81817334,2.76364,0.183081495884697,0.138971511,2.5510175,3.152261,1.11242801985558,49.2296112021927,2554.78284145123
"18","beta[16]",6.1139841275,6.061455,0.161889071525871,0.125138853,5.863078,6.4153635,1.4473692600816,136.783974159033,2141.01293731664
"19","beta[17]",5.2993025525,5.246575,0.26086031532103,0.212760513,4.951703,5.7745415,1.09506052033432,27.5958420003085,2444.48804762844
"20","sigma",16.5749331,16.5774,0.0311561892153326,0.0226837799999998,16.519895,16.630005,1.47330279624247,3797.94667814297,2051.13715606985
"21","tau_1",1.74783263725,1.766255,0.632241881890041,0.476818986,0.92719565,2.7874555,1.0699139405725,44.552385512951,1167.73146733663
"22","z_1[1]",-0.87865483396375,-0.7161225,0.527114384141182,0.396165546,-1.859989,-0.150160600000001,1.08997692799065,56.9093189874493,1434.97098291987
"23","z_1[2]",1.01092980390725,0.92761,0.516476670215966,0.3645661509,0.1836996,1.957224,1.44069684850385,1177.08399517092,1040.00214811364
"24","z_1[3]",0.82585439506,0.914454,0.473138806726019,0.3489832836,-0.0128403449999999,1.598058,1.50390626207246,1048.69747485258,1462.08834964528
"25","z_1[4]",0.1014930445925,0.2283345,0.421694012913035,0.3166892904,-0.66233895,0.71014015,1.15661013119976,85.981816466572,1263.03358422336
"26","z_1[5]",-0.725777068881,-0.5656595,0.498813228856976,0.3754039569,-1.6211435,-0.01974884,1.11052003034505,58.3275052276478,1366.07163325619
"27","tau_2",14.3712918525,5.17455,16.6793131530302,3.960647292,1.93437,43.4379,1.58551817042582,6.84361567758993,22.3827884776483
"28","z_2[1]",0.41122680589125,0.4909865,1.01268769579232,1.2361451781,-0.88214,2.0437565,1.44922904553474,7.8792237682707,16.8704845668617
"29","z_2[2]",-0.83448980415975,-0.998254,0.7018712441187,0.515974452,-2.0180605,0.4067143,1.51864446377786,536.292220190261,1826.25379543363
"30","alpha_j_1[1]",-1.35651552421725,-1.160015,0.737555718065147,0.471288888,-2.626208,-0.2728846,1.42820848673799,933.09004210554,1581.88255582853
"31","alpha_j_1[2]",1.59264365777925,1.79788,0.736746124815864,0.497397474,0.35582825,2.63606,1.31487838011864,218.391641920521,1340.01430066389
"32","alpha_j_1[3]",1.323718192125,1.43918,0.780634922600531,0.62802936,-0.020998955,2.267052,1.10930677201162,26.2863132864007,1337.92668824199
"33","alpha_j_1[4]",0.1901983803715,0.338412,0.763411809339079,0.48339750459,-1.1483385,1.17622,1.08265281658834,36.7017734833739,1573.45407918512
"34","alpha_j_1[5]",-1.119147891159,-0.927364,0.743959725774784,0.4720761486,-2.399773,-0.0341331450000001,1.41430867024614,629.999817846867,1308.17253415269
"35","alpha_j_2[1]",-7.031453678095,1.95861,17.8461819132977,4.622190825,-37.5821,8.5288,1.55636059491309,7.01019083260288,15.3115669055901
"36","alpha_j_2[2]",-12.899025998875,-3.88454,17.8765258168399,4.5946530126,-43.49646,2.7203135,1.58332149767108,6.85582907012195,19.8376340586848
