"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-308779.92625,-308780,3.82974903641485,4.4478,-308787,-308774,1.0020553813316,1389.61538327967,1958.59427462127
"2","alpha",42.3806786,42.37765,3.15449739405413,2.61671487000001,37.02397,47.40023,1.00353237236115,887.146311218766,319.530578985684
"3","beta[1]",0.6035045749,0.6009315,0.18143090884721,0.1824917514,0.30893805,0.8925725,1.0009895040385,2199.51064899119,2551.75271563546
"4","beta[2]",-0.146191621025,-0.1465215,0.0353896998695547,0.0350434749,-0.2029374,-0.0868625300000001,1.00100796745893,2018.11111338758,2428.19016847459
"5","beta[3]",-0.007264372022535,-0.00818619,0.0322707431263186,0.032267958744,-0.05937169,0.046942785,1.0028046742548,2042.59556622435,2476.84180496586
"6","beta[4]",0.4478820681975,0.4468075,0.16345831834519,0.1596144921,0.17753435,0.7186912,1.00192413868176,2225.91731391898,2539.44033264363
"7","beta[5]",0.1463213085,0.1466025,0.037316441053084,0.0379849533,0.084915515,0.2081437,1.00024281218151,1949.32034457639,2035.5007667675
"8","beta[6]",-1.003335117,-1.00115,0.179157447236024,0.175043169,-1.301691,-0.7039182,1.00129910586557,2144.55280466368,2568.59419512464
"9","beta[7]",-0.249495996,-0.249486,0.00710853359329094,0.0072395358,-0.2611421,-0.2378556,1.00067768298872,4070.03594393751,3171.76446496972
"10","beta[8]",1.36960919,1.37218,0.0909348506935683,0.090935271,1.218398,1.5177705,1.001502918257,5228.89582219801,3050.49073743442
"11","beta[9]",-0.612479565625,-0.6135515,0.119089028328331,0.1191283926,-0.8066076,-0.4166394,1.00109312439937,4198.96206873018,2815.10167544587
"12","beta[10]",0.64718690175,0.647361,0.0957554142217702,0.0939397599,0.4938514,0.80724755,1.00030054683278,4612.37809167329,2729.33671533183
"13","beta[11]",0.247852611,0.24757,0.0387423145401273,0.038080581,0.1844109,0.31196715,1.0002008666916,4070.01960822402,2622.25568107195
"14","beta[12]",1.53465326,1.53781,0.109670551027443,0.106710135,1.348235,1.713191,1.00050255708988,3992.81083203564,2958.14491480094
"15","beta[13]",0.9769172185,0.976766,0.0305432720130322,0.0304592757,0.9268156,1.0277355,1.0020165748844,2329.88241324868,2991.90079989809
"16","beta[14]",2.7023399725,2.69977,0.108524345920805,0.108541146,2.526609,2.879755,1.00014593935039,3258.68367073987,2912.44376099791
"17","beta[15]",15.688511925,15.6878,0.157082183882889,0.15760038,15.43522,15.94303,1.00111577632534,3339.8992613392,2979.0319546359
"18","beta[16]",7.2155757775,7.210995,0.146151856196262,0.146784813,6.979591,7.452164,1.00307894123004,2539.83001374508,2652.65585812098
"19","beta[17]",0.88779927625,0.8872115,0.217454814613328,0.2147731425,0.52716905,1.252129,0.999837248370403,4056.79635593643,2641.09446295866
"20","sigma",13.306132475,13.3056,0.0293466875454769,0.0291330900000006,13.257,13.3559,1.00205274976882,6737.33872982168,2554.15641917554
"21","tau_1",2.007087332,1.80351,0.882739474404043,0.639185925,1.0855345,3.58465,1.00241782092033,1475.58076821714,2049.15717490791
"22","z_1[1]",-1.327231868285,-1.29916,0.630121640377171,0.637577304,-2.3926755,-0.366223150000001,1.00209868314098,1625.12443240817,2170.78062212432
"23","z_1[2]",0.725590081864828,0.713342,0.52129481704244,0.5226587541,-0.11498855,1.585817,1.00205270411823,1517.8926570832,2238.37444886357
"24","z_1[3]",0.81311271743925,0.7983635,0.535880822386454,0.5253733947,-0.0558250249999999,1.7035115,1.00214024594729,1493.02772884245,1925.67705444759
"25","z_1[4]",0.48200956615675,0.4783705,0.485927801804712,0.4796010849,-0.31858385,1.288071,1.00231391695484,1501.25515163772,1480.72499008197
"26","z_1[5]",-0.62649520481125,-0.6028735,0.497703389802992,0.5017555767,-1.469075,0.1398246,1.0018124968667,1628.81163762546,2215.48698333473
"27","tau_2",4.04517474125,3.36705,2.2957459070035,1.666501704,1.64909,8.5939935,1.00118872334534,1604.57646000526,2042.82148116378
"28","z_2[1]",0.7676981115795,0.7491165,0.781953725638135,0.7795977819,-0.53987765,2.064394,1.00200764618958,1343.08314155238,320.898626405438
"29","z_2[2]",-0.81277825206125,-0.786273,0.795719081178414,0.783294645,-2.1663415,0.463397049999998,1.00222766156604,2269.30819518267,1845.32404310543
"30","alpha_j_1[1]",-2.334693321465,-2.3185,0.965899616132938,0.829336788,-3.902467,-0.904420450000001,1.0011197192931,1707.54499201228,2068.74898757898
"31","alpha_j_1[2]",1.260042315683,1.269945,0.955695697549631,0.8468529657,-0.2911247,2.677979,1.00110808462876,1700.00356635416,2217.9717418678
"32","alpha_j_1[3]",1.4131180351375,1.42353,0.955891822533198,0.8325406866,-0.13501045,2.817743,1.0014464037896,1682.14618967942,2180.57607779666
"33","alpha_j_1[4]",0.834931360778,0.8482695,0.95691100694066,0.8369410434,-0.72173315,2.272348,1.00124285689782,1676.50944695893,2114.85491685617
"34","alpha_j_1[5]",-1.10641559409825,-1.088865,0.961129365182776,0.8379558831,-2.637586,0.301140949999999,1.00160254163508,1701.84237363022,2153.49430343397
"35","alpha_j_2[1]",2.3650341215175,2.404,3.02988421308886,2.2855924686,-2.5364935,7.3419585,1.0038521348119,943.163276274306,309.29326279124
"36","alpha_j_2[2]",-2.59151156489,-2.5491,3.03046688444064,2.299616382,-7.5256465,2.3949765,1.00401706491763,945.879362919155,309.355865522325
