"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-324540.1475,-324540,3.35306643441916,2.9652,-324546,-324535,1.00111039682233,1294.19245124123,1841.87694108786
"2","alpha",41.23350315,41.2645,4.17216349610243,3.44645196,34.507905,48.1025,1.0040878769761,1525.96829235627,1627.57558332538
"3","beta[1]",0.4299703775,0.429886,0.0326103063265077,0.0325126767,0.3765773,0.48332805,1.00100173413292,4397.9320073208,2817.6411662934
"4","beta[2]",-0.1708695395,-0.17093,0.00837152755686491,0.0083937399,-0.1846524,-0.1567367,1.00149276075088,3551.14442720913,2754.52884110327
"5","beta[3]",-0.622626949,-0.6232245,0.100946188177862,0.100772322,-0.7891001,-0.4540647,0.999961161839612,4949.0144422428,2714.03854404107
"6","beta[4]",0.002610444532475,0.001452925,0.138961780568852,0.14277111828,-0.22196265,0.2362399,1.00129629929181,3700.22835562876,2658.96935981268
"7","beta[5]",0.596119051,0.594075,0.111989743160949,0.110831763,0.41315105,0.7803557,1.00017862412524,5187.75107160957,2962.35746890309
"8","beta[6]",0.6301983175,0.630159,0.044525022329675,0.043603266,0.55740185,0.70375545,1.00166323646551,3909.49190875998,3100.74320424592
"9","beta[7]",2.97006709,2.97144,0.12404201253386,0.12616926,2.7601085,3.172426,1.00132420821185,3756.55255808814,3265.01050825877
"10","beta[8]",1.030825919,1.030585,0.0355187430457544,0.0363014610000001,0.97232425,1.088666,1.00108633707299,3356.40886540372,2696.46563178408
"11","sigma",15.578461275,15.5784,0.0359004414081178,0.0369167400000009,15.51908,15.636705,1.00115360675821,6397.32273066729,2324.89621572059
"12","tau_1",1.8177337625,1.641275,0.744268151336884,0.576523836,0.9729082,3.2501425,1.00131186896034,1498.92213308597,1888.22312752927
"13","z_1[1]",-1.01918028930375,-1.004465,0.555006766230726,0.5619283803,-1.9641035,-0.124155850000001,1.00397701376927,1416.75005869976,2167.11191654872
"14","z_1[2]",0.689724999462,0.6828035,0.518877419945528,0.5252503389,-0.14834625,1.5543775,1.00451376929145,1213.23828135069,1804.8230830459
"15","z_1[3]",0.9528797227905,0.9279155,0.566277022318077,0.5684725767,0.04546645,1.9149165,1.00401071939315,1250.60975375907,1896.0597935985
"16","z_1[4]",0.341557826393,0.340181,0.468859632357503,0.47582215989,-0.43716835,1.1305525,1.00538800788797,1133.1158731916,1443.12347248312
"17","z_1[5]",-0.95614687840525,-0.9316725,0.545788522907809,0.5471943015,-1.8784275,-0.0740197750000005,1.00437501680645,1394.20889999117,2106.85326683029
"18","tau_2",5.677692375,4.7542,3.19070561131992,2.423042832,2.325807,11.948945,1.00154268079354,1814.95702792196,2149.62038408002
"19","z_2[1]",0.82971318499375,0.7841855,0.814121223800266,0.8176531587,-0.4582785,2.2404695,1.00115062274815,2000.48296775752,2141.39879483532
"20","z_2[2]",-0.85777852150525,-0.8282635,0.79564662556124,0.7945090314,-2.197768,0.41275005,1.00207840690091,1913.67271930853,1657.16165612034
"21","alpha_j_1[1]",-1.64137390059,-1.612475,0.882243790757175,0.760684995,-3.066164,-0.2774136,1.00523464170429,1329.01293284177,2014.79079247225
"22","alpha_j_1[2]",1.085079551825,1.10741,0.875552429257468,0.7551015234,-0.31667895,2.4868655,1.00582054797178,1318.60094723584,1838.93958129153
"23","alpha_j_1[3]",1.50479367323775,1.516565,0.874294207449356,0.750855357,0.1025581,2.8743125,1.00595493857852,1282.03061681468,1906.04003534934
"24","alpha_j_1[4]",0.53208232527325,0.551925,0.877323755365985,0.75041391285,-0.8931529,1.9162185,1.00614163961815,1281.96033735982,1908.6140383639
"25","alpha_j_1[5]",-1.5396754250125,-1.51742,0.881853084318124,0.760062303,-2.9675535,-0.1511588,1.00561170774144,1314.26681450316,1759.40283144867
"26","alpha_j_2[1]",3.6071773250075,3.651305,4.10988138344507,3.288421626,-3.224954,10.325485,1.00409284019215,1534.8299613904,1558.90479382169
"27","alpha_j_2[2]",-3.8269041977625,-3.798035,4.1140307444379,3.304070469,-10.672915,2.9262065,1.00411374753224,1535.98493492079,1527.78401544584
