"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-331798.39025,-331798,3.39747562870757,2.9652,-331805,-331793,1.0015372484662,1277.49722098283,2055.15289829635
"2","alpha",49.0953844,49.20955,3.41932764892154,2.72383272,43.39958,54.519585,1.00189333429211,1754.26115599911,1637.06437743384
"3","beta[1]",-0.2299067895,-0.2299425,0.0358387693367683,0.0358329594,-0.28817185,-0.17072685,1.00014392428273,4524.13841675284,2869.41142568086
"4","beta[2]",-0.20118580575,-0.201077,0.00868384856587191,0.0084745416,-0.21569315,-0.1866524,1.00155074284027,3801.67877500771,3085.31157504106
"5","beta[3]",1.8928583225,1.889945,0.111451495335703,0.113300292,1.714419,2.0785275,1.00125223459914,4119.39572707534,2636.06155274719
"6","beta[4]",-0.62872910165,-0.6256805,0.151617168975952,0.1515899196,-0.87840695,-0.38107595,1.00023666374932,3593.78790523862,2949.02803385571
"7","beta[5]",0.5059222346,0.5067205,0.11998553489617,0.1182025089,0.3103608,0.70513385,1.00150946378399,4491.03902388707,2894.89901030021
"8","beta[6]",0.6322275605,0.6316665,0.0469453668561675,0.0472526859,0.5571633,0.7115737,1.00086015689164,3596.35993203276,2964.91302765698
"9","beta[7]",2.4680985725,2.470085,0.134141558952462,0.132284985,2.246889,2.690105,1.00090839720492,4006.27133770511,2778.59141420944
"10","beta[8]",0.938084969,0.9385455,0.0381045091518834,0.0385750281,0.8749217,0.99916085,1.00098061312587,4342.33847959313,2909.7234745472
"11","sigma",16.7509789,16.75085,0.037739295679697,0.0374356499999997,16.688595,16.814205,1.00253308382392,6648.54977828627,2540.9760838368
"12","tau_1",1.45544340025,1.27572,0.671709507426483,0.4664200296,0.7665933,2.693599,1.00079857083783,1345.32737094133,1865.22769896177
"13","z_1[1]",-0.8801027344745,-0.8681325,0.56178993691002,0.5536347159,-1.830749,0.0174457149999995,1.00090865824117,1446.08297671759,2219.41096144784
"14","z_1[2]",1.143872819447,1.13763,0.598640969344904,0.6071143218,0.17241705,2.119786,1.00391782947372,1551.17123602463,2227.26306097421
"15","z_1[3]",0.679647890464,0.6776965,0.506790752548437,0.4954604571,-0.1631889,1.5093635,1.00388531005894,1569.77040050975,2132.76866293911
"16","z_1[4]",-0.1324459797419,-0.1237565,0.46460171026657,0.4638417882,-0.9047598,0.61250895,1.00193610661433,1425.89807415246,1845.71875277873
"17","z_1[5]",-0.814982322274,-0.7977695,0.54319713285907,0.5380140423,-1.7375895,0.0546562099999999,1.00051961221047,1389.87351729622,2358.25567080456
"18","tau_2",4.625932685,3.8433,2.73139085237962,1.932116907,1.8273935,10.05085,1.0024848541269,2106.84726762168,2231.93503580579
"19","z_2[1]",0.847826369702,0.8308495,0.774795433214893,0.7649037333,-0.37891525,2.149069,1.00088212000908,2509.25308431581,2346.54490524855
"20","z_2[2]",-0.776657001446,-0.759126,0.797003986163883,0.7841011794,-2.1031995,0.46425805,1.00084399794669,2157.22307444238,1852.42721691432
"21","alpha_j_1[1]",-1.10732602653,-1.09848,0.737413493556161,0.603106854,-2.2746005,0.0360684599999997,1.00198927535744,1573.27538406251,2247.13905075641
"22","alpha_j_1[2]",1.43755356481675,1.437305,0.723452938819713,0.599437419,0.3188247,2.5454865,1.00200641602944,1425.11741097221,2314.73793765403
"23","alpha_j_1[3]",0.85467088760075,0.855478,0.717767794374189,0.5790768732,-0.2766244,1.989245,1.00202443272872,1434.58174379991,2307.32536847551
"24","alpha_j_1[4]",-0.162054394634025,-0.162542,0.724937050620013,0.5931526776,-1.312385,0.980992049999998,1.00255068730425,1468.58853003818,2246.86758242733
"25","alpha_j_1[5]",-1.023384095809,-1.00839,0.723761370241232,0.5884572834,-2.162946,0.0991585149999993,1.00172640563023,1636.52615468743,2242.39702695339
"26","alpha_j_2[1]",3.12078973771625,3.01313,3.34179891389641,2.565439149,-2.1862735,8.605702,1.00120213522493,1794.30407968135,1579.96535263597
"27","alpha_j_2[2]",-2.6418517166425,-2.74427,3.34274506260715,2.575105701,-7.924564,2.8788025,1.00122469591245,1793.17434881528,1592.38810352266
