"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_Intercept",45.6327159,45.6125,0.707242394086489,0.706533029999999,44.481695,46.80222,1.1079966898547,31.142708396896,196.813073802679
"2","b_NU_IDADE",-0.2454756065,-0.245568,0.00754966587792962,0.00768579839999999,-0.2578181,-0.23284305,1.18008413071338,16.9203726297675,95.2126137149239
"3","b_TP_SEXO_MASC",1.382693515,1.380095,0.0893183191889013,0.0889337609999999,1.236207,1.5261555,1.05203939505782,159.287262181329,433.9964791698
"4","b_QE_I01_SOLTEIRO",-0.689072636,-0.686935,0.12950605388233,0.1334947866,-0.89459575,-0.46834035,1.26318233930915,12.0703782897194,43.2135073482441
"5","b_QE_I02_BRANCA",0.568150604,0.571006,0.0894702796740902,0.0910916853,0.4191316,0.7091358,1.03815823570869,137.78846960747,311.938791660227
"6","b_QE_I05_NUM",0.28601241425,0.2863445,0.0384256130366772,0.0404119695,0.2263752,0.34944825,1.03549767243012,110.095689376916,217.593982948633
"7","b_QE_I17_PRIVADO",1.5100187625,1.51601,0.114858495425181,0.118348545,1.31864,1.684453,1.16870037898623,18.6587680903869,251.417942332756
"8","b_QE_I08_NUM",0.96367550825,0.961647,0.0292768955816127,0.0285823041000001,0.91762495,1.0144215,1.07202642371569,79.2456930796305,301.408821355847
"9","b_co_regiao2",3.3316313775,3.329955,0.206234508939573,0.200862648,2.9707435,3.681774,1.19983775477012,15.8719634549931,26.1242311737585
"10","b_co_regiao3",3.5797388025,3.56769,0.196235384988848,0.204391236,3.276807,3.9128225,1.17925098527097,16.940881378271,60.6250000903741
"11","b_co_regiao4",3.0311115525,3.009845,0.189129995436229,0.17064726,2.742441,3.376117,1.13376049503957,23.8879275724555,118.545157253647
"12","b_co_regiao5",1.072211522,1.05285,0.223632255582561,0.2353353219,0.76189525,1.4706895,1.23716438394035,13.5341531012546,97.0187464977642
"13","sd_CO_CATEGAD_PRIVADA__tech",1.43798021375,1.128815,1.41845285393758,1.148392308,0.23511805,3.8154725,1.5734865325694,6.99682046288473,46.3634927427749
"14","sd_CO_CATEGAD_PRIVADA__pedag",2.54140155625,1.985875,1.87940084509476,0.806615943,1.1068525,5.3242645,1.15186083104676,28.4944056915453,78.88176553517
"15","sd_CO_CATEGAD_PRIVADA__content",1.80976481175,1.47988,1.49713755499361,1.0958096751,0.4976017,4.312451,1.57576300973654,6.97351984622685,21.4080761509318
"16","sd_CO_CATEGAD_PRIVADA__tech:pedag",0.9264344007,0.7900555,0.565907729840108,0.5028541833,0.2723678,2.04496,1.1858258316056,17.4968079080746,117.076291966152
"17","sd_CO_CATEGAD_PRIVADA__tech:content",0.554430640875,0.431574,0.387153032032703,0.2204603961,0.20759535,1.386583,1.08146772461949,36.9912574028739,234.52772703635
"18","sd_CO_CATEGAD_PRIVADA__pedag:content",0.680688075325,0.549043,0.543428519172748,0.4698596616,0.10542325,1.8023395,1.58861374793775,6.92680063664619,19.4294096507395
"19","sd_CO_CATEGAD_PRIVADA__tech:pedag:content",0.616384217425,0.248513,0.704173808692195,0.2046017652,0.069644025,2.0513195,1.58288107674347,6.99109549995186,22.4617071176311
"20","sd_co_grupo__tech",1.37354065625,1.16855,0.697443707337302,0.3528284067,0.703351,2.867635,1.09593445003701,60.3102382825449,35.6940793841268
"21","sd_co_grupo__pedag",2.11443659375,2.073945,0.859674561650262,0.893222022,0.9546368,3.778,1.19897286546034,15.5051397046147,56.4982686898118
"22","sd_co_grupo__content",0.42221113677,0.286697,0.359473316248174,0.2238785304,0.09604677,1.1146015,1.15079123588031,20.9538463094507,186.24061216366
"23","sd_co_grupo__tech:pedag",0.420230623825,0.3865715,0.201431851074166,0.1398677427,0.2079039,0.75628245,1.13666593568091,22.8555831109423,150.287909081652
"24","sd_co_grupo__tech:content",0.1259904801385,0.0913308,0.126067935364629,0.09663935211,0.006592761,0.3656784,1.36243641435023,9.36591854703928,26.4606483171577
"25","sd_co_grupo__pedag:content",0.26884741063675,0.163182,0.24944682656256,0.17367628593,0.00926017,0.77677475,1.56561071098348,7.17761629028367,12.3398739036207
"26","sd_co_grupo__tech:pedag:content",0.05974773133,0.04908805,0.0391323841217994,0.03724320852,0.01316409,0.1282446,1.25619820570286,12.3346692505653,153.475421124606
"27","cor_CO_CATEGAD_PRIVADA__tech__pedag",0.22659737175865,0.226597,0.32158730071624,0.34112809815,-0.3203648,0.7332835,1.2018606392054,17.4925783179777,51.1172435043125
"28","cor_CO_CATEGAD_PRIVADA__tech__content",0.35908737764075,0.363069,0.37556325468108,0.4781666694,-0.28640985,0.88246695,1.5356763398303,7.20023471835745,12.3324075879951
"29","cor_CO_CATEGAD_PRIVADA__pedag__content",0.14311645468075,0.1512765,0.295104437890819,0.2942938761,-0.4042514,0.58894775,1.066994065585,66.2348786388418,87.1516648321113
"30","cor_CO_CATEGAD_PRIVADA__tech__tech:pedag",0.068134465049275,-0.06434165,0.539910950481043,0.58051625541,-0.6578393,0.87791135,1.65014427357157,6.62905856759259,28.0284453966574
"31","cor_CO_CATEGAD_PRIVADA__pedag__tech:pedag",-0.11392206529175,-0.1240605,0.376756799256647,0.370968759,-0.7341947,0.5508662,1.2749195254951,11.3430352985616,34.3758483703443
"32","cor_CO_CATEGAD_PRIVADA__content__tech:pedag",0.0833609617685025,0.1345475,0.380980168445729,0.4457874267,-0.5957099,0.5972851,1.31621101305733,10.6526143347039,47.9405122032471
"33","cor_CO_CATEGAD_PRIVADA__tech__tech:content",-0.20526206220385,-0.242658,0.314938135142071,0.2984458974,-0.67104845,0.3757334,1.09767963502079,96.0327645054228,312.464938704402
"34","cor_CO_CATEGAD_PRIVADA__pedag__tech:content",-0.1052159300165,-0.1264355,0.336811934804948,0.357054558,-0.64284045,0.4440219,1.1562610095439,19.2556194513165,175.356523359772
