"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_Intercept",48.427973425,48.4364,0.792624175582097,0.800381610000002,47.11809,49.735985,1.00077617266102,1346.80332130789,2148.24413691367
"2","b_tech",-2.05494246,-2.053,0.304948277930376,0.305675055,-2.565272,-1.5649015,1.00092250865332,1511.2015230456,2231.95423242495
"3","b_pedag",-3.5513653075,-3.554255,0.295801463018249,0.293243454,-4.040025,-3.055213,1.00076111254341,1665.63983604224,2544.18018289309
"4","b_content",-0.82294770675,-0.8190625,0.244367521770957,0.240870609,-1.223323,-0.4192547,1.00127278609793,1364.77758750846,2318.46942590399
"5","b_NU_IDADE",-0.1834285245,-0.1837065,0.00768542374725971,0.00755681220000001,-0.1960238,-0.17079775,0.999947270350767,4208.48910258339,3129.89599325651
"6","b_TP_SEXO_MASC",-0.054522345118425,-0.05386495,0.0948673990886129,0.09573007353,-0.2101719,0.0989576099999999,1.0005486238883,4519.58208914618,3014.6344517513
"7","b_QE_I01_SOLTEIRO",-0.15013940966875,-0.1524,0.12960096188859,0.1288764876,-0.37036025,0.0673396499999998,1.00039374093168,4477.59649548399,2784.83339848692
"8","b_QE_I02_BRANCA",0.20108178573275,0.2004515,0.106875231869325,0.109653096,0.028393085,0.3772741,1.00030448018708,4460.58263687072,2683.07409472033
"9","b_QE_I05_NUM",0.7311042655,0.7312625,0.0404177123601722,0.0401347233,0.66547725,0.7986061,0.999934890377738,4065.88061353044,3128.70177925528
"10","b_QE_I17_PRIVADO",2.72450116,2.724715,0.112796226975282,0.113055663,2.539671,2.9100675,1.00100936555484,4375.11257292594,3088.82470671296
"11","b_QE_I08_NUM",1.056867178,1.05698,0.0320549979737184,0.0320982900000001,1.0044695,1.1089115,1.00223898408721,3861.80234861441,2373.40438751395
"12","b_co_regiao2",1.71191302375,1.711595,0.215483157446673,0.210366114,1.358084,2.064918,1.00058910991826,1934.69271366393,2472.78583171584
"13","b_co_regiao3",-0.910631972,-0.907847,0.205569546957991,0.2053000698,-1.2496725,-0.58136055,1.00078206072103,1701.2774236921,1989.56209845965
"14","b_co_regiao4",-0.6455984168825,-0.639736,0.224948835476874,0.2211861288,-1.0280795,-0.2724083,1.00037617378786,1820.3575399663,2258.58264803663
"15","b_co_regiao5",-1.1943377855,-1.194615,0.246432855198846,0.246978921,-1.601959,-0.794724,1.00010542172671,2209.25632156999,2717.25556557974
"16","b_tech:pedag",0.831796945,0.830427,0.0786433871086626,0.0772338231,0.7028254,0.96228205,1.00124762510644,1458.71754731348,2404.56254160746
"17","b_tech:content",0.44371133225,0.4435365,0.0670246965702602,0.0666124767,0.3351983,0.554694,1.00079486092338,1206.07747505003,1897.48403068284
"18","b_pedag:content",0.705733082,0.7056885,0.0682953086571173,0.0661439751,0.5943097,0.8187793,1.00096969719792,1343.78170163463,2280.60540702797
"19","b_tech:pedag:content",-0.17611644125,-0.175698,0.0155638184473706,0.0152996907,-0.20179045,-0.15047285,1.0011411252895,1109.91372580624,1838.44580281988
"20","sigma",14.368042025,14.3676,0.0321818671699299,0.0324689399999981,14.316295,14.42201,1.00079736034108,7977.55359181969,2492.59442185287
"21","lp__",-408327.135,-408327,3.19567333781482,2.9652,-408333,-408323,1.00081881781266,1540.13216205437,2473.91229188074
