"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_Intercept",43.170640475,43.17655,0.425796947152426,0.42810075,42.45438,43.86109,1.00075355798084,4230.76452653468,3360.84642768631
"2","b_tech",-0.119072301521225,-0.119891,0.0493493017867394,0.04834084017,-0.2000048,-0.035144995,1.00145952584931,5277.44793241224,2945.12123425137
"3","b_pedag",-0.4127569125,-0.412126,0.0501267303789103,0.0504817887,-0.49579705,-0.33051095,1.00125004278855,4898.19048938491,2772.924268717
"4","b_content",0.6174351615,0.6175855,0.0615389916612963,0.0618740871000001,0.51672255,0.72130305,1.00058907565245,4406.26758234989,2792.59922800792
"5","b_NU_IDADE",-0.1866088295,-0.1867385,0.00747202753155312,0.00736778070000002,-0.19893455,-0.1742619,0.999886139919396,5367.90216804374,3353.58689656732
"6","b_TP_SEXO_MASC",-0.064408377404025,-0.06426245,0.0932170991896144,0.091850791326,-0.21624265,0.0905443849999999,1.0009675898439,5184.47576856716,2864.91182665577
"7","b_QE_I01_SOLTEIRO",-0.111222936998225,-0.1077995,0.127990801721269,0.12927263832,-0.322205,0.0955236049999999,0.999699230133247,5036.38848474247,2934.30587344443
"8","b_QE_I02_BRANCA",0.2344297835275,0.2339055,0.100873328008255,0.0994594797,0.06685929,0.40116795,1.00130091135009,5187.81268455887,3141.59156849076
"9","b_QE_I05_NUM",0.6941960375,0.69408,0.0414088825948193,0.0405921053999999,0.62474565,0.76154635,1.00117636207493,4924.43059063692,2659.82005245318
"10","b_QE_I17_PRIVADO",2.7146224475,2.716085,0.116438642818525,0.115516779,2.519346,2.907551,1.00011436608447,5427.29762465779,3177.09561937824
"11","b_QE_I08_NUM",1.0518188015,1.05187,0.0319814693708854,0.0319352040000002,1.00003475,1.104651,1.00054958663571,5032.05321703602,3254.35844737792
"12","b_co_regiao2",1.74326764375,1.745285,0.209940926972229,0.212634492,1.398745,2.0825115,1.00140597809025,2653.70524996022,2510.70946523544
"13","b_co_regiao3",-0.9123213,-0.911681,0.199100727048526,0.1985408964,-1.2374655,-0.5920101,1.00185670672684,2628.91422052967,2684.61356937379
"14","b_co_regiao4",-0.6421361442325,-0.6369035,0.216849954186383,0.2218295772,-0.9989966,-0.29050295,1.00136170785753,2796.20900362213,2891.57356246528
"15","b_co_regiao5",-1.17515977075,-1.177375,0.246078746998036,0.237497694,-1.582273,-0.7639971,1.00117985422803,3023.64549235981,2663.84237325539
"16","sigma",14.380204825,14.3798,0.0320424266168349,0.0321724199999988,14.328095,14.433405,1.00315471656971,5249.29375272897,2404.56846433516
"17","lp__",-408404.1225,-408404,2.8834133016387,2.9652,-408409,-408400,1.00341009181394,1894.785255188,2556.50827761511
