"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","b_Intercept",50.327597825,50.32225,0.748968223172786,0.737445239999998,49.11448,51.57652,1.00386378405722,1541.10392043772,2263.0741648977
"2","b_tech",-2.020852815,-2.015745,0.305166569911292,0.305059776,-2.5316415,-1.538591,1.00186871568037,1478.40921864862,1908.62358140996
"3","b_pedag",-3.5656389,-3.569685,0.297833263719542,0.288254505,-4.054149,-3.074947,1.0025756582275,1667.06901973226,2323.77569781066
"4","b_content",-0.84200356095,-0.8435155,0.23852384058074,0.2364331872,-1.221151,-0.44829325,1.00288401825395,1823.4010209515,2187.63788545075
"5","b_NU_IDADE",-0.1878529745,-0.1879105,0.00755953702559622,0.00764873340000002,-0.20050475,-0.1755309,1.00020563235811,3955.71090217689,2921.37048141548
"6","b_TP_SEXO_MASC",-0.025865532311475,-0.0250001,0.0966950349837875,0.09538729641,-0.18549065,0.1323407,1.00033449826509,4946.49721872772,3012.33383040649
"7","b_QE_I01_SOLTEIRO",-0.1803067628709,-0.179529,0.129164858118203,0.1297141566,-0.3967633,0.0273075149999999,1.00058649158462,3779.97001236608,2792.02663265019
"8","b_QE_I02_BRANCA",0.068609240641425,0.067955,0.101654004575435,0.102627640227,-0.09767931,0.23147445,1.00036054024462,4281.61928174569,2965.36451823032
"9","b_QE_I05_NUM",0.742662732,0.7428155,0.0407816129973465,0.0413245098,0.67553405,0.80909865,1.00077342616735,3629.19332478516,3044.57879437914
"10","b_QE_I17_PRIVADO",2.8538560075,2.85496,0.114330221349446,0.115665039,2.664391,3.0384055,1.00072421050196,3558.75519955072,2763.98287012868
"11","b_QE_I08_NUM",1.02190539075,1.02143,0.0321681304530707,0.03157938,0.9688314,1.074766,1.00139280930083,3908.56970850218,3182.85502746143
"12","b_CO_REGIAO_CURSO",-0.6368525765,-0.636918,0.0487547303986055,0.0480295683,-0.7179716,-0.55612995,0.999698429808507,4384.66590911882,2698.30384460433
"13","b_tech:pedag",0.83766164425,0.8366605,0.077908829071242,0.0758750201999999,0.71237555,0.96818085,1.00324737445325,1310.35614981017,1718.56859717717
"14","b_tech:content",0.44803664275,0.4488275,0.0663722035064243,0.0646028124,0.3384315,0.5580052,1.00255953216022,1340.40875147824,1571.31703677256
"15","b_pedag:content",0.70874645375,0.709951,0.0685429816016459,0.0669683007,0.59511305,0.82466335,1.00322249659106,1595.63872859539,1983.72724239488
"16","b_tech:pedag:content",-0.1788865625,-0.179144,0.0153178394757598,0.0147007203,-0.2041502,-0.1536926,1.00392447586425,1102.03720895332,1534.92846750095
"17","sigma",14.388361725,14.3884,0.032261658841141,0.0320241600000017,14.3345,14.4415,1.00073273580187,9750.32112839106,3052.93036251591
"18","lp__",-408468.633,-408468,3.00434144478939,2.9652,-408474,-408464,1.00315136217742,1553.67794468146,2307.12327070268
