"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-324489.979,-324490,3.72867734708833,2.9652,-324497,-324485,1.00366591755353,1312.63054584466,1703.52994223703
"2","alpha",40.083183825,40.00275,4.45144764967312,3.54096771,33.201405,47.25575,1.00479077277731,1283.96846077889,1200.01351570829
"3","beta[1]",0.066529144209075,0.06607465,0.214001725335935,0.21950597235,-0.2821979,0.4210254,1.00185517360764,2096.23174239169,2434.82804682255
"4","beta[2]",-0.064955961953215,-0.06509105,0.0408213343027375,0.04252904817,-0.13163255,0.0020502945,1.00291239076168,1810.52085928011,2276.73533616917
"5","beta[3]",0.082726399676425,0.08263225,0.037717245196021,0.0381791739,0.02159965,0.14444345,1.00115593615918,2268.0711767051,2546.05015008484
"6","beta[4]",0.5871646708525,0.587569,0.190221866205552,0.1938877563,0.27106265,0.9020487,1.00204944695626,2159.69666280204,2970.55302182318
"7","beta[5]",0.10902728006425,0.1086525,0.0431405725388911,0.0424742661,0.03736529,0.1807452,1.00122365870394,1880.64030837665,2030.74021884993
"8","beta[6]",-1.07414784225,-1.07145,0.205686820764117,0.2103942834,-1.416637,-0.73872955,1.00104130482764,2009.03485479583,2558.22955157902
"9","beta[7]",-0.172089102,-0.1719735,0.00824455182294868,0.0082491864,-0.18590155,-0.15897865,1.00097759267538,4410.31403181011,3064.57091041623
"10","beta[8]",-0.64694470725,-0.64884,0.104006076180482,0.1051482159,-0.8159535,-0.47723825,1.00022558909769,4732.57956178194,2523.87286675653
"11","beta[9]",-0.05040492737925,-0.05180835,0.141561066621207,0.14341805079,-0.27642945,0.18069635,1.00061054670619,4385.56341242948,3110.98297950085
"12","beta[10]",0.54045105775,0.540881,0.11303250447552,0.1134537411,0.3546773,0.7259511,1.00233713732007,5368.1582007054,2868.60370001234
"13","beta[11]",0.650617153,0.651028,0.0442476630226256,0.0452274543000001,0.57939775,0.7223926,1.00056113030475,4320.81073194795,3010.15783680969
"14","beta[12]",2.929455755,2.92747,0.122520441445593,0.122707389,2.7263125,3.1297935,1.00177923527485,4365.28227374537,2849.48934543678
"15","beta[13]",1.03059190425,1.030495,0.0350648072487705,0.036256983,0.97288945,1.08962,0.999618848143279,4236.00314548544,3051.85410914622
"16","sigma",15.5705208,15.56995,0.0341980346475267,0.0336550199999993,15.513975,15.626505,1.00090296830122,6847.42628338798,2589.91278791589
"17","tau_1",1.8177074105,1.626395,0.808834296869484,0.586531386,0.94821765,3.3284795,1.00225086209719,1126.90518685548,1919.65860025975
"18","z_1[1]",-1.0697857077775,-1.04689,0.578739367387005,0.578873757,-2.067733,-0.17600635,1.00154306550482,1472.49082037741,1731.24593342018
"19","z_1[2]",0.659890412563375,0.646248,0.504635960785434,0.4942528794,-0.1568571,1.4897825,1.00241657845612,1540.71365360226,2359.09572381569
"20","z_1[3]",0.9172757322395,0.902229,0.552641824129316,0.5486331648,0.02976736,1.828784,1.00238270904826,1452.04686530335,2196.08589798895
"21","z_1[4]",0.31412842785125,0.3084065,0.459001288984714,0.4547957043,-0.4426522,1.0666625,1.00192277785327,1619.89815543991,2337.5382207902
"22","z_1[5]",-0.992805460951,-0.9584955,0.5626132068877,0.5649514017,-1.945347,-0.1229617,1.00183339530044,1456.76425085294,1703.29646542532
"23","tau_2",5.85616559,4.795765,3.49266837165089,2.431871715,2.3223125,13.207225,1.00367614998419,1645.52059183707,1704.02025289455
"24","z_2[1]",0.81823918548,0.7979425,0.815820733893838,0.8133187776,-0.49468805,2.2255665,1.00387321399432,1867.9985046266,1660.24602223838
"25","z_2[2]",-0.8556144204955,-0.8384,0.777817644783853,0.7996951662,-2.145832,0.38029865,1.0015209067539,1898.52029082948,1417.34491181929
"26","alpha_j_1[1]",-1.6959022114375,-1.690775,0.889352326587481,0.734457801,-3.109895,-0.372926,1.00213866503586,1726.79746643188,2155.94370250884
"27","alpha_j_1[2]",1.03144924220828,1.039195,0.878911395606371,0.728008491,-0.34516745,2.349547,1.00213276315979,1727.85766071263,2164.02815231122
"28","alpha_j_1[3]",1.4353256456675,1.44612,0.876900326467569,0.712567212,0.074637675,2.7405985,1.00245365089338,1709.18460630885,1980.62505152162
"29","alpha_j_1[4]",0.4893789299275,0.4856755,0.880150339338035,0.731388307503,-0.89184385,1.8089685,1.00239388523047,1696.09663876033,2051.67189066384
"30","alpha_j_1[5]",-1.5723462326025,-1.567165,0.880830789863967,0.720884598,-2.9639185,-0.25944145,1.00172176807755,1745.73483941537,2049.42788959156
"31","alpha_j_2[1]",3.5581533040575,3.603805,4.3493661354715,3.342610656,-3.572753,10.318675,1.00514873608611,1295.03364084288,1290.0071898707
"32","alpha_j_2[2]",-3.90698136113625,-3.868215,4.35009854915677,3.361157982,-11.00681,2.919864,1.00521585404876,1292.68411267001,1230.56571818585
