"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-331734.19125,-331734,3.65739218117113,2.9652,-331741,-331729,1.00412509712825,1238.80163241674,2148.79355882638
"2","alpha",50.323733425,50.32635,3.69002637050591,2.73213528,44.37285,56.187295,1.00111641966031,1502.44640318694,983.002318489523
"3","beta[1]",0.23932111375635,0.2363655,0.227929645549094,0.2226450072,-0.13287385,0.61020175,1.00053109391217,1984.15433228986,2618.05737590615
"4","beta[2]",-0.1628177683,-0.163823,0.0445413189685512,0.0438619797,-0.23535015,-0.088338845,1.00157892766684,2321.60650525353,2446.526613169
"5","beta[3]",0.022074871618875,0.0219379,0.0407869920193053,0.039767727909,-0.04516825,0.08950212,1.00100705527454,2334.51208808013,2692.6146003399
"6","beta[4]",0.80082238805,0.79969,0.208549677508266,0.2105091849,0.459965,1.148518,1.00157088715445,2266.29551810008,2546.83337532241
"7","beta[5]",0.12334918321375,0.123015,0.0467890936303201,0.0463431108,0.046434045,0.20171675,1.00103211398618,1713.10675732095,1224.82325985341
"8","beta[6]",-1.12524397425,-1.12273,0.226355170232822,0.2282559069,-1.492617,-0.7487629,1.00065830466493,2366.7884338182,2631.32960148134
"9","beta[7]",-0.20373902025,-0.203796,0.00852366478885099,0.0085968561,-0.21744625,-0.1894394,1.00044248699022,3893.42496759516,2778.93777475426
"10","beta[8]",1.8788122575,1.877935,0.111134371595678,0.111498933,1.696399,2.064009,1.00054438124813,5430.93708604684,3227.16092021135
"11","beta[9]",-0.6269772135,-0.6281045,0.148051778555915,0.1495639467,-0.87321165,-0.38419645,1.00038416668248,4467.08088587456,1202.2803683338
"12","beta[10]",0.5437738035,0.545809,0.118362727858418,0.1163055222,0.34874025,0.74134815,1.00000714478907,5231.91760768041,2536.01021397309
"13","beta[11]",0.598432284,0.598834,0.0458824949933855,0.0463201304999999,0.52421075,0.67260265,1.00304038116011,4772.9101987457,3135.75572970597
"14","beta[12]",2.4230352725,2.42126,0.132880941611416,0.133634151,2.2054335,2.6381595,1.00077466589782,4256.85834632198,1031.46346779212
"15","beta[13]",0.92275018925,0.9221665,0.0383303924395,0.0382192041,0.85985165,0.98651175,1.00178002515912,4490.63494103808,1640.04622305578
"16","sigma",16.73946445,16.7398,0.0370080176386129,0.0376580399999965,16.6793,16.800605,1.00165637752998,4909.95414185281,2149.91133431862
"17","tau_1",1.41992163225,1.26603,0.636177331940416,0.4425160698,0.74701685,2.5893715,1.00284106170884,1430.63597068944,2116.24413821515
"18","z_1[1]",-0.87781513636395,-0.882576,0.557768478682896,0.5511105894,-1.8092985,0.0521242499999993,1.00148079724187,1753.16050076715,2481.9907856604
"19","z_1[2]",1.16922082809475,1.153485,0.601377609650146,0.6023336781,0.19546825,2.1848035,1.00208683048277,1731.78601808466,2443.48558684376
"20","z_1[3]",0.666951147724075,0.669695,0.501707774242252,0.498865248,-0.13722055,1.493288,1.0019559380084,1869.34929183769,2348.0455074506
"21","z_1[4]",-0.12958129393925,-0.1301345,0.459507374673217,0.4615281909,-0.8802114,0.61560225,1.00110653859827,1891.08723676122,2391.27451260826
"22","z_1[5]",-0.80875999530475,-0.801961,0.544173985530763,0.5385455544,-1.6882035,0.0799488299999993,1.00156807825376,1785.15033984461,2273.11220705516
"23","tau_2",4.7614314575,3.79182,3.06995308262172,1.931946408,1.840315,11.148765,1.00638876575638,1556.80547940197,829.990801115489
"24","z_2[1]",0.815474430497225,0.7976645,0.792851975010238,0.7756155183,-0.4565447,2.1199475,1.00078205982562,2497.10361264687,1842.98862043795
"25","z_2[2]",-0.802752862356,-0.771949,0.801827665282944,0.7893095532,-2.1669545,0.4619459,1.00134355849254,2375.70494673921,2225.89132596443
"26","alpha_j_1[1]",-1.0753087530746,-1.07441,0.712917489574562,0.5878264371,-2.203531,0.0903152449999975,1.00084628849169,2108.54966937005,2527.24358238493
"27","alpha_j_1[2]",1.45070524288,1.43851,0.699878654180177,0.583581012,0.3649172,2.6064315,1.00094587623458,1997.74965855839,2364.67501361612
"28","alpha_j_1[3]",0.831076114543725,0.820473,0.694683014431906,0.5797166151,-0.233183,1.974835,1.00102570091429,1969.32226937953,2485.161655363
"29","alpha_j_1[4]",-0.1485968532395,-0.1638145,0.697550305702217,0.5834283042,-1.2334775,1.0103975,1.00113166913157,1976.8923056713,2437.61764242012
"30","alpha_j_1[5]",-0.98940445075675,-0.9983055,0.706094299882358,0.60690231,-2.1113345,0.1486551,1.00065262895577,2048.89487041599,2368.83013209955
"31","alpha_j_2[1]",2.91860618191275,2.85273,3.60540458421952,2.543867319,-2.786075,8.660679,1.00122805136257,1554.98096902867,993.146235285464
"32","alpha_j_2[2]",-2.8148763539875,-2.87214,3.60288304679097,2.54065749,-8.5313645,2.96551449999999,1.00125385035595,1565.80311308241,986.958640783899
