"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-74920.485975,-74920.1,3.12373177856735,2.9652,-74926,-74915.9,1.00125233066933,1408.17601407061,1992.25394879378
"2","alpha",42.0276358,42.0578,3.61480995972743,2.94852075,36.21321,47.895245,1.00351809715979,1133.78018743503,746.005054127855
"3","beta[1]",0.3592009978675,0.3565235,0.0989547909511526,0.1004372544,0.1956213,0.5260365,1.00046352268138,3629.86242379238,2450.39207608875
"4","beta[2]",-0.66109100375,-0.660682,0.0912318689979409,0.0917781291,-0.8118481,-0.5133671,0.999551110768178,3542.619187676,2532.32900969819
"5","beta[3]",0.28808062154375,0.2907695,0.112692099197855,0.1124670708,0.10150285,0.46975015,1.00079071520176,2992.14038039838,2805.79361855886
"6","beta[4]",-0.10992968575,-0.109675,0.0157452451412416,0.01543846206,-0.1362066,-0.08404582,1.00284400649093,2306.82323534378,1183.85199911935
"7","beta[5]",1.03750622125,1.040265,0.170420040768537,0.1692854919,0.75556785,1.3165655,1.00079080768049,4168.63456156356,2877.99999501494
"8","beta[6]",1.064346244,1.062375,0.186560824870601,0.183760857,0.7581589,1.372654,0.99965848716225,4280.73450087833,2429.74041924422
"9","beta[7]",2.421894875,2.423955,0.180152466620337,0.182604429,2.1255965,2.7133815,1.00070792163675,3508.84836459149,2650.91377922573
"10","sigma",13.0325471,13.0316,0.0577145413969665,0.0561905399999981,12.93879,13.12781,1.00088760613689,5606.6587016682,2726.92095940529
"11","tau_1",1.56903065175,1.39605,0.710229108664007,0.507190047,0.825898,2.858493,1.00224293809341,1568.70385568905,2408.88415343278
"12","z_1[1]",-0.53459460343135,-0.522017,0.544268697279774,0.5583827424,-1.4261735,0.3416095,1.00201068444265,1996.11704766986,2798.80863196403
"13","z_1[2]",0.6824300586195,0.6698915,0.516225517764409,0.5163769779,-0.15065745,1.531556,1.00376399421017,1465.82935214154,2459.29200072036
"14","z_1[3]",0.7421101358015,0.7310075,0.517351993137044,0.5086348407,-0.090899685,1.6127495,1.00397919129811,1410.87378756102,2223.29427797749
"15","z_1[4]",0.444332451300675,0.436144,0.478177648392554,0.4734564492,-0.34599315,1.2356285,1.00248115295402,1463.17118943662,2465.88952122849
"16","z_1[5]",-1.26848959121,-1.25004,0.630329920882777,0.638948709,-2.302546,-0.283115750000001,1.0024162864885,1994.73974897591,2918.38841625003
"17","tau_2",4.8686081925,3.97126,3.02683624621941,2.042029458,1.871989,10.9672,1.00425076811708,666.789716706996,277.553690883786
"18","z_2[1]",0.81790740552975,0.786064,0.798282077549754,0.7853799219,-0.45348345,2.168544,1.00293960166578,1613.93651875621,1600.40060456213
"19","z_2[2]",-0.78397011283475,-0.7505285,0.801118765470037,0.8014831818,-2.16847,0.44925925,1.00362381672061,1552.93264384792,1587.43756428948
"20","alpha_j_1[1]",-0.74124282101575,-0.734564,0.865848184585635,0.7499302146,-2.104414,0.569224499999999,1.00246219853706,1798.56428706157,2578.01295204634
"21","alpha_j_1[2]",0.92899181969625,0.918105,0.804701842317,0.65493855,-0.29907995,2.1525275,1.00370391533884,1677.43885102261,2522.41458548809
"22","alpha_j_1[3]",1.0080677016175,0.9816005,0.79851179830041,0.6379753821,-0.1770087,2.225331,1.00365664879568,1645.64515258316,2275.34963117622
"23","alpha_j_1[4]",0.605050571066475,0.598747,0.799447967334063,0.6169780596,-0.61096945,1.8360235,1.00236068838512,1667.83615584102,2328.21759544387
"24","alpha_j_1[5]",-1.7429097646325,-1.738615,0.83415758168798,0.667377564,-3.051827,-0.5076004,1.00242675881342,1797.83936862743,2145.74942833078
"25","alpha_j_2[1]",3.03282535209525,3.045625,3.46736665433405,2.653535241,-2.699114,8.854035,1.00571740706459,1222.46628034257,755.397638341891
"26","alpha_j_2[2]",-2.8132230777775,-2.800965,3.47079985663315,2.6728705689,-8.554966,2.94886049999999,1.00634416648144,1222.04361980138,756.961836289587
