"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-314118.928,-314119,3.31663474270293,2.9652,-314125,-314114,1.00266815114374,1229.93797897652,2093.47440281751
"2","alpha",43.072227675,43.11985,4.16388521046787,3.33666543,36.421925,49.809095,1.00232465729956,1671.25639274128,1587.97005738633
"3","beta[1]",0.26488110425,0.2650705,0.0298237555353017,0.0297416973,0.2155028,0.3146842,0.999663560239324,4484.0219316165,3032.11683924332
"4","beta[2]",-0.1784999235,-0.1784645,0.00754897843115121,0.00745451279999999,-0.19101705,-0.1660517,1.00026258533157,3619.73080218417,2725.74209797317
"5","beta[3]",0.00861386095584,0.006980985,0.095706589388208,0.093605411361,-0.146684,0.16894185,1.00078956344808,4351.55143953431,2826.7186492455
"6","beta[4]",-0.155432840051975,-0.15537,0.127674430536811,0.12646748499,-0.36326405,0.057262945,1.00051544372236,3430.41279745039,2773.18010708955
"7","beta[5]",0.5780142115,0.5786615,0.0992346121260607,0.1014632136,0.4125331,0.73897335,1.00152463808834,4207.8725977524,2889.56109417947
"8","beta[6]",0.63054902075,0.63006,0.0391293647208357,0.0394260404999999,0.566387,0.69490145,0.999755546745058,3319.81383174933,2645.65141029091
"9","beta[7]",2.8415092325,2.840875,0.112849243935882,0.114708762,2.654274,3.027121,1.00096961269604,3985.75812840372,3164.34395162054
"10","beta[8]",1.00756354025,1.007475,0.0314445604653109,0.0314088809999999,0.9557209,1.059833,1.00062989091038,3841.0187648568,2960.95762077384
"11","sigma",14.036668875,14.0366,0.0322299194175348,0.032320680000001,13.9828,14.0915,1.00453949690661,6558.07490821395,2667.98010464907
"12","tau_1",1.74000963675,1.553875,0.757693714949114,0.549132801,0.92872755,3.165276,1.00181264432528,1246.22406112341,1974.34516774608
"13","z_1[1]",-0.96160571303375,-0.9539435,0.576503534126331,0.5904669477,-1.920707,-0.0294737000000001,1.00155502028485,1174.72988855289,1951.45615450246
"14","z_1[2]",0.811466954211,0.8094255,0.523956143219414,0.5297248257,-0.0341352,1.6755335,1.00132777908705,1182.36789080884,1896.98043210621
"15","z_1[3]",0.922727336334,0.9159235,0.544088293199143,0.5420348535,0.05470819,1.8220395,1.00126044576336,1177.99177921674,2133.82676300458
"16","z_1[4]",0.2673130141435,0.2766805,0.463123243930256,0.46025915943,-0.48955055,1.0238465,1.00045605698792,1138.61703052181,1678.25572265673
"17","z_1[5]",-0.89858327897975,-0.886749,0.56425108575998,0.5783355732,-1.827146,0.00751625449999985,1.00170613592223,1163.2877519955,1851.69631878865
"18","tau_2",5.508529015,4.49444,3.38839447248841,2.238184851,2.1828765,12.26531,1.0029053235126,2197.76044897241,1974.63069488637
"19","z_2[1]",0.840983252695,0.8243835,0.802130573698772,0.8119577508,-0.45453475,2.252181,1.00004475539884,1914.15626326947,1838.47078089875
"20","z_2[2]",-0.83401878488275,-0.7985745,0.8130775260049,0.8115077817,-2.2263505,0.45944905,1.00178345954889,2179.02912950645,1950.58533190518
"21","alpha_j_1[1]",-1.4429786770325,-1.45392,0.879662072155246,0.7283680215,-2.781837,-0.0666022400000002,1.00057637382372,1242.60737682136,1953.38586793928
"22","alpha_j_1[2]",1.24341580843,1.21929,0.877459893151374,0.731247972,-0.07159467,2.6040375,1.00042913430237,1192.64613321626,1925.6405144654
"23","alpha_j_1[3]",1.41122335613325,1.396285,0.875150691260289,0.7154330778,0.11311565,2.7737955,1.00100542793417,1168.40271372496,1714.31452892872
"24","alpha_j_1[4]",0.4208313051995,0.412141,0.87529789680031,0.71889228012,-0.88314825,1.7915015,1.00097454548793,1178.39298707993,1727.18416490469
"25","alpha_j_1[5]",-1.34731892679575,-1.355055,0.87787697219899,0.722359785,-2.674444,0.0128885649999998,1.00031929511067,1210.59093132661,1842.58925893182
"26","alpha_j_2[1]",3.5567245348475,3.525145,4.08026460171264,3.140917752,-3.073523,10.08122,1.00208780193756,1773.94184383774,1482.21270443291
"27","alpha_j_2[2]",-3.4606218126775,-3.48788,4.08162511757936,3.119101293,-10.09197,3.064654,1.00213887819639,1771.84136624368,1461.71292868867
