parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
α,40.014240705088525,3.0419958068979702,0.03401054705746592,0.06092632612104276,2701.8492951026337,1.0003101179648684,0.26127831745777236
β[1],0.3713051185905463,0.1076918484897587,0.0012040314692285427,0.001561450347522435,5277.080167436216,1.0010060826137526,0.5103121886689608
β[2],-0.6200299607988127,0.10072992428207031,0.0011261947903155798,0.0011947472887239832,5989.891549909108,1.0000312220302872,0.5792435532031885
β[3],0.27415107156252194,0.12102445252324046,0.001353094513908308,0.0016399579177623109,5473.432626239607,1.0003835679347572,0.5293001611505636
β[4],-0.09490258105875941,0.016750054010421348,0.0001872712969704755,0.00018652295477717014,9021.407153337026,1.0003673187337139,0.8724017606747648
β[5],0.1656110965353734,0.1826733025137042,0.002042349610475129,0.002012688872881268,7917.644744613688,0.9998779468156539,0.7656640586322766
β[6],1.105332689312926,0.20141808504167266,0.002251922650255068,0.0019919673680480854,9220.17370038358,0.9997276334780835,0.8916231839693021
β[7],1.892733489652961,0.20270476796106876,0.002266308202621356,0.0023674468072893305,6970.392137202196,1.0001680013807464,0.674061404139084
σ,14.187667973420517,0.06328358977452976,0.0007075320429802956,0.0005672120183642157,10597.820890574141,0.9997702456538102,1.0248465064380499
τ_1,1.6329631193576457,0.7626459585498023,0.008526641030414225,0.01593218607401905,2824.3650951040186,1.0003614863129215,0.27312602567168986
zⱼ_1[1],-0.8727049299107263,0.593326386599874,0.006633590666408193,0.01064393646521272,3017.3830878204853,1.001085919233766,0.29179154356991127
zⱼ_1[2],0.6183617982857165,0.5086686151353381,0.005687088007316472,0.009965601402790849,2466.792722240406,1.0019657736030567,0.23854752119309755
zⱼ_1[3],0.7093724978922896,0.51794743133255,0.005790828326154931,0.010281998170045416,2467.339665394612,1.0015545414614735,0.23860041251732317
zⱼ_1[4],0.5858845692612392,0.5000492736625732,0.005590720840044545,0.010046117082789189,2497.8124267712724,1.0016393447421026,0.24154723558225788
zⱼ_1[5],-1.1077029129604283,0.6253014798256432,0.006991083076606759,0.012009297585353922,2952.77698357015,1.0003904621615485,0.28554390635097904
τ_2,4.068031689288295,2.1138591820600627,0.023633664129742025,0.05035608126885781,1821.7241147824932,1.0157459346871056,0.17616712095873535
zⱼ_2[1],0.854708217672273,0.7768406758986439,0.008685342794981251,0.014564050878995226,2987.8538260790624,1.0016913990832044,0.2889359602338777
zⱼ_2[2],-0.812122656066622,0.7805325536495024,0.008726619243058944,0.013380819153585901,3538.3218501590422,1.0007738249298956,0.34216815175789017
