parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
α,48.03725816240675,3.6399841804935558,0.040696260323037275,0.06971416911721483,2753.088491627762,1.0007894325357936,0.24070232912697123
β[1],0.32433211109239624,0.12436512940946359,0.0013904444169505943,0.0015205988731453511,5925.269579769998,0.9997144274038398,0.5180458938726569
β[2],-0.7928192319206527,0.114981716266143,0.0012855346687034453,0.0015671440129590218,5767.059906116335,0.9995707584400699,0.5042136334659676
β[3],0.33053637757706833,0.14170665254324463,0.001584328539753192,0.0018133269494817513,5587.414225134121,1.0001727703583307,0.4885072244778375
β[4],-0.15612880314840955,0.018938370493171174,0.00021173741902903481,0.00021565890408328423,6311.767072859505,0.9999237994391614,0.5518373419395425
β[5],3.663433557144267,0.21146510760898693,0.002364251777415014,0.002771981935758557,6404.262281849327,1.0006280490036783,0.5599241914195505
β[6],0.9324129659277565,0.22777744408008568,0.0025466292435211433,0.003297400757754149,6307.280052923406,1.0001533957706314,0.551445042108737
β[7],4.006360710357451,0.2321654056094243,0.0025956881448324187,0.0027514276552813815,6056.785464897409,0.9999122348049678,0.5295443182653455
σ,16.199995351213108,0.07364983364548167,0.0008234301728142409,0.0007138865631365225,9775.353953239171,0.9998720684052691,0.8546584941750398
τ_1,1.7925012497026505,0.8347095390813163,0.009332336354266703,0.015778394164170473,2580.341274795723,1.0004177660525857,0.2255990523641204
zⱼ_1[1],0.43593707007330706,0.5494558853752719,0.006143103551682203,0.010104838729427126,3042.4547615380675,1.0002169911245506,0.266001601326178
zⱼ_1[2],0.6283804766660558,0.5272957650681324,0.005895345874700516,0.011289040916852911,2583.102776154073,1.0005637464198467,0.22584049022958078
zⱼ_1[3],0.5879417976646921,0.5172994239848744,0.005783583383758321,0.010859542857330682,2619.037248606677,1.0009695018535296,0.22898223857569977
zⱼ_1[4],-0.14633697955551508,0.4810048272061752,0.00537779745569274,0.009823972325970974,2811.4836211702177,1.0009424756077556,0.24580781110958264
zⱼ_1[5],-1.4802807913290157,0.6867054233756521,0.007677600035928656,0.01248528532618363,2970.859841979566,1.000687473880572,0.2597420626503252
τ_2,4.97970211388881,2.3787949360052147,0.026595735907199613,0.04802838790133605,2670.839671477961,1.006651754281131,0.2335113206874651
zⱼ_2[1],0.9073476745209278,0.7765029701718548,0.008681567130173793,0.012365170070134315,3863.34390594208,1.0013037681852197,0.33777188027433763
zⱼ_2[2],-0.8317840506586491,0.8084470005697706,0.009038712247399092,0.015018278293936156,3398.2451778153513,1.0004793794567584,0.29710833187241
