parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
α,40.03633125876212,3.968473133888048,0.0443688784712765,0.10332412030652707,1412.7393524491895,1.0022146139520054,0.005496272899552559
β[1],0.06732793926463847,0.2140473174703961,0.00239312176132642,0.004268225483482066,3006.064129863147,1.0008626722530245,0.01169511473056959
β[2],-0.06519871606558203,0.04101637995901008,0.0004585770688965328,0.0006752741694042124,4299.597353026759,1.0006875838723834,0.016727615302468777
β[3],0.08323054129966843,0.03892111127990797,0.00043515125290854035,0.0006647790138178959,3879.768799274088,1.0010392189220647,0.015094269208974052
β[4],0.5887911515211999,0.19525104929701886,0.0021829730945314833,0.0027251676896670497,4671.247657360751,1.0006874600753517,0.018173523560265997
β[5],0.1089366413025184,0.044030377422271345,0.0004922745849558535,0.0008015478306433564,3701.294052284336,1.000946709941383,0.014399911885782296
β[6],-1.0775974814142706,0.20719789593885526,0.0023165429005710396,0.0030786403614332433,4456.140920103345,1.0005197672521244,0.017336649208001802
β[7],-0.1721484188274807,0.008022911174930857,8.96988738229405e-5,9.305702887633249e-5,7021.510608386521,0.9996271159307282,0.027317238954157073
β[8],-0.6460337805491096,0.10482766334705938,0.0011720089058324396,0.001230569639382694,9221.299410434074,1.0000798892377876,0.03587553355851723
β[9],-0.05330057728839938,0.13814717542663973,0.0015445323757677747,0.0021424662473773096,4790.998595728156,1.0003067230509095,0.018639415471681714
β[10],0.5383877335632664,0.11046464769195101,0.0012350323067488386,0.001356084913837,8210.766973473139,1.0002400144897807,0.03194404963845919
β[11],0.6490932688258935,0.04477362924125676,0.0005005843929141123,0.00048549714572750444,6669.48500179352,0.9998661118701708,0.025947680728068617
β[12],2.9303837144047127,0.12632519165643294,0.0014123585790723665,0.0021689839267201023,4482.164661718432,1.0002711144281395,0.017437894767231107
β[13],1.0311931345255767,0.03506787568382154,0.0003920707692776844,0.0005791858559378945,4550.805593977933,1.0006962820744167,0.017704942821866142
σ,15.570116245425309,0.034908564011009245,0.0003902896106275969,0.0004467033718449604,9917.54213727404,1.000303079493759,0.03858427103681205
τ_1,1.8137953097606265,0.8011563611353056,0.00895720042052457,0.014923154239055174,3403.5475579907597,1.0001686434746264,0.013241526947551858
zⱼ_1[1],-1.0347948628665087,0.5706683744529631,0.006380266389430651,0.009266504656986274,3225.281603568953,1.000359430455167,0.012547981933389957
zⱼ_1[2],0.6824137761568736,0.5010630689134314,0.0056020554155254716,0.008742886723140606,3078.4832756784635,1.000890692204193,0.011976861952987807
zⱼ_1[3],0.9385948236246886,0.5484266068525657,0.006131595867959445,0.009819141497219342,2996.2810683118623,1.00092620150498,0.01165705365724721
zⱼ_1[4],0.34032469801494064,0.46271126911615995,0.0051732692584946635,0.008260683284917405,3095.767511990544,1.0010014301233043,0.012044106402196966
zⱼ_1[5],-0.9582512056869139,0.5579823380846799,0.00623843219100807,0.009103769949098535,3213.6713871846787,1.0004718314404282,0.012502812300675898
τ_2,5.397646593593079,2.8254521746184986,0.031589515648107844,0.06970300961374437,1736.5111015178031,1.0040182619704234,0.006755909283972278
zⱼ_2[1],0.8551371571494782,0.8106731514774899,0.009063601371188256,0.01602567088758389,2876.1712372925435,1.0018435811839979,0.011189765471314792
zⱼ_2[2],-0.8894640821489948,0.7759320938924957,0.008675184539336848,0.010280584486668347,5267.698646900364,1.0003605555584534,0.02049402054651795
