parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
α,50.28193103466225,3.1852627969741976,0.035612320701177085,0.0613752775200791,2558.566119869947,1.0003163389656917,0.01439508439262296
β[1],0.2557582704455614,0.22837699980541737,0.0025533324803118473,0.003740160094445515,4178.137077167984,1.000356968972102,0.023507164955673423
β[2],-0.16515356742365903,0.04454407634716523,0.0004980179135360099,0.0007429188274629447,4153.130295305351,1.0005835074891944,0.023366471020697527
β[3],0.021239203825734663,0.04169565148857407,0.00046617155547295955,0.0005603027410902156,4011.7082799120835,1.0005023519243534,0.022570798072966792
β[4],0.7999296705191943,0.21318572208228836,0.002383488832041874,0.0030099249294583087,4185.562567801817,1.000505088029688,0.023548942482351565
β[5],0.12577160602789206,0.04638524735065394,0.0005186028311460211,0.0007384199984596981,4045.334681806943,1.0005476796060324,0.022759987982634386
β[6],-1.1339766789590326,0.22425366296339747,0.0025072321729474184,0.0035122724826228253,4306.394325828818,1.0008752600710318,0.02422876988278478
β[7],-0.20353833204995594,0.008729521588667077,9.759901841655772e-5,0.00011230178862716579,7214.188402005725,1.0004797855168759,0.040588691480223635
β[8],1.8788176751496266,0.11323195728615028,0.001265971768585923,0.00137572159477153,8427.092228109052,1.0000888981942735,0.04741276876370622
β[9],-0.6228361138848325,0.1493630518744548,0.0016699296865905417,0.001798933008116501,7188.762460068426,0.9999337199905401,0.04044563925378051
β[10],0.5449899372821094,0.12028100319112191,0.0013447824976860886,0.0013385685001191913,8757.783646864202,0.9999378158054187,0.04927331512360977
β[11],0.5988366021205372,0.04770528182856985,0.0005333612652723382,0.0006016880251072405,7452.939625783956,1.0000155544401617,0.041931961051581965
β[12],2.422318674926037,0.132132697144947,0.0014772884643324694,0.0015149923210655753,7806.8988190371,0.999930475824475,0.043923417289063425
β[13],0.9213158390780446,0.03761181214563686,0.00042051284357298116,0.0004901406044354042,7071.996632095525,1.0000632660288091,0.03978868771565499
σ,16.739352845499198,0.03775766483438096,0.00042214352620664584,0.0004024729327801255,10223.01280007041,1.0000126035732635,0.05751703302135437
τ_1,1.453690452759956,0.6963269838486101,0.007785172352264452,0.01826857449970428,1550.5883286308926,1.001412258828395,0.008723968349112845
zⱼ_1[1],-0.8704897979336038,0.5684540391207771,0.006355509367791911,0.010831267433838589,2663.5938976966518,1.000111087544459,0.014985994947423049
zⱼ_1[2],1.1549501816034928,0.6171800495716508,0.006900282725994506,0.011541099653354349,2826.1353650196806,1.0018248821477014,0.015900490813386715
zⱼ_1[3],0.6570501172514023,0.5157068728858343,0.0057657781211828425,0.009439094646976617,2885.5907778288506,1.0017126600078519,0.016235000708729873
zⱼ_1[4],-0.13266317586887494,0.47124815196948705,0.005268714510374623,0.008825968336079138,2744.0168834205165,1.0005950694978805,0.015438473254554151
zⱼ_1[5],-0.8049780217938604,0.5585190278148531,0.006244432564605536,0.010863948034326247,2541.895718839148,1.0002942694124688,0.014301292863127748
τ_2,4.279203052098424,2.1984616358938345,0.024579548318920025,0.05073282782207574,2499.136067826167,1.0076515912335653,0.014060717182807925
zⱼ_2[1],0.8538644693497236,0.7881293010454036,0.008811553460984592,0.013058465579628422,3585.897715852038,1.000091114232786,0.020175089415171266
zⱼ_2[2],-0.8171961990761691,0.7830287861864235,0.008754527971259956,0.01241496661662067,4259.413765153604,1.0001721804262307,0.023964446389058994
