parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
α,42.99422453599343,3.558843470244178,0.039789079603736156,0.07162408958100058,2809.6109560534564,1.0020660551452847,0.02099505451712341
β[1],-13.211285577518472,16.315694473335565,0.1824150097124798,0.4812585524704588,1293.9685615352066,1.003315934963513,0.00966928906450297
β[2],-0.17446162611509966,0.007708916937231499,8.618831152274556e-5,0.0002725408591645658,255.91916273441774,1.0204990126140814,0.0019123774991014982
β[3],-0.07733775921751192,0.09130815843460531,0.0010208562458004914,0.0017755560011498944,3220.066054172148,1.0040008557772053,0.02406221480964229
β[4],-0.22743733491633197,0.12443488052792809,0.0013912242581625607,0.002813349921169672,1332.6516179398598,1.006834510556527,0.009958351461684625
β[5],0.4839567766291196,0.0990922826627753,0.001107885400397947,0.0016002341777976456,5477.846480747998,1.0021815647647627,0.04093366921564234
β[6],0.6806627704783986,0.04210365558343925,0.0004707331799290437,0.0016109617554298712,217.61573442221956,1.0225013864028172,0.0016261519048160421
β[7],2.8055180599389202,0.10826801783296588,0.0012104732383183558,0.0014634677737359123,6539.7897431344945,1.0006735802429392,0.04886912968922123
β[8],1.016843276655645,0.030562075478210344,0.0003416943915137886,0.000575996580244918,3480.4194087359497,1.0030507120671117,0.02600772718067213
σ,14.042890381563236,0.03128876705744201,0.0003498190503629821,0.0007339329570677097,835.4121541824902,1.007815809349248,0.0062426876872540135
τ_1,1.7237968986196102,0.783071817986715,0.008755009081413186,0.018101979522663368,1625.0702909485926,1.0017845675197208,0.012143474625593023
zⱼ_1[1],-0.9684372354819752,0.5632605354124095,0.006297444231125376,0.014883215938936392,1404.6714235528007,1.0086540368135377,0.010496525525214136
zⱼ_1[2],0.7597553275255604,0.5208355409080544,0.005823118372841411,0.012680103099699584,1670.4448715778183,1.0065980273707604,0.012482540001156743
zⱼ_1[3],0.8936845769344615,0.5452558033528802,0.006096145207116489,0.013311161895057806,1615.040210906641,1.0064722520416605,0.012068524007665593
zⱼ_1[4],0.2532653545168461,0.4639839538164864,0.0051874983060139325,0.01358786663701039,674.8323661646145,1.0131466893471412,0.005042741695970202
zⱼ_1[5],-0.9908956170362744,0.5740407711695021,0.006417970930957041,0.01733245073197266,687.9936082735871,1.012849970992345,0.005141090186175081
τ_2,5.33991276658,3.0787501999382023,0.03442147366401445,0.1784334524911083,81.05941097910491,1.0666046301305094,0.0006057232760163822
zⱼ_2[1],0.8297963464126842,0.7760973058038922,0.008677031664659727,0.018513881994715115,1278.3021426060734,1.0080199104758096,0.009552220429503318
zⱼ_2[2],-0.8399690697516677,0.7819691347361915,0.00874268070788408,0.01621257401114099,3098.7542658783427,1.0045429003930213,0.023155702253763105
