variable,mean,median,q25,q75,std,min,max
NT_GER,41.18457695142927,40.9,31.5,50.5,13.467563236130868,0.0,89.1
NT_FG,46.79376689327546,46.4,34.5,58.9,16.906524484609907,0.0,95.2
NT_CE,39.2977598492915,39.0,28.3,49.7,14.507471948264397,0.0,92.0
QE_I58,5.050126955524613,6.0,5.0,6.0,1.3551877181183183,1,6
QE_I29,4.824432795478745,5.0,4.0,6.0,1.383891308578466,1,6
QE_I57,5.0157670570890325,5.0,5.0,6.0,1.2712047070948085,1,6
CO_REGIAO_CURSO,3.1240478335654025,3.0,3.0,4.0,0.8802497512236159,1,5
CO_CATEGAD_PRIVADA,0.6157752477680399,1.0,0.0,1.0,0.4864214035322661,0,1
NU_IDADE,26.534073224670326,25.0,23.0,28.0,5.5539963244582955,20,67
TP_SEXO_MASC,0.4609714145302646,0.0,0.0,1.0,0.4984846496134945,0,1
QE_I02_BRANCA,0.6115980014743222,1.0,0.0,1.0,0.487396773456567,0,1
QE_I17_PRIVADO,0.31886313375378816,0.0,0.0,1.0,0.46604541698802293,0,1
CO_IES,838.9402899500369,338.0,150.0,578.0,2737.619800851783,1,23410
QE_I08_NUM,3.1851093455647472,3.0,2.0,4.0,1.6452277060569154,1,7
CO_GRUPO,1.0,1.0,1.0,1.0,0.0,1,1
