variable,mean,median,q25,q75,std,min,max
NU_ANO,2017.8692065266628,2018.0,2018.0,2018.0,0.5923788633961654,2017,2019
CO_IES,741.7161113734712,420.0,163.0,581.0,2103.2010727099478,1,23410
CO_CATEGAD_PRIVADA,0.572393720062838,1.0,0.0,1.0,0.494733775113343,0,1
CO_ORGACAD_NUM,3.0,3.0,3.0,3.0,0.0,3,3
NT_GER,45.340993070480636,45.0,34.3,56.3,14.85429899834985,0.0,92.3
NT_FG,50.603226708044595,51.2,38.3,63.2,17.32072512451518,0.0,99.4
NT_CE,43.57027824092368,42.7,31.4,55.4,16.396248391166687,0.0,97.1
TP_PRES,555.0,555.0,555.0,555.0,0.0,555,555
TP_PR_GER,555.0,555.0,555.0,555.0,0.0,555,555
QE_I58,5.037914783295907,6.0,4.0,6.0,1.3453798240692068,1,6
QE_I28,5.127420271976407,6.0,5.0,6.0,1.232398879756921,1,6
QE_I39,5.017810503185266,5.0,4.0,6.0,1.2767656619837888,1,6
QE_I49,5.084320396302972,6.0,5.0,6.0,1.251076680630694,1,6
QE_I57,5.145731936506713,6.0,5.0,6.0,1.1689824850643684,1,6
QE_I40,4.598213167050569,5.0,4.0,6.0,1.5043416824452087,1,6
QE_I29,4.95856744957064,5.0,4.0,6.0,1.3262822729897552,1,6
QE_I30,4.899835195019227,5.0,4.0,6.0,1.390205067029079,1,6
QE_I32,5.197717788336433,6.0,5.0,6.0,1.2642023397291633,1,6
QE_I36,5.2359988049229464,6.0,5.0,6.0,1.1641026584294343,1,6
QE_I37,4.869572759953353,5.0,4.0,6.0,1.3754080899115377,1,6
QE_I56,4.763480758295666,5.0,4.0,6.0,1.4383257704996606,1,6
QE_I38,4.86818492853632,5.0,4.0,6.0,1.3233333435328734,1,6
QE_I61,4.765061344076177,5.0,4.0,6.0,1.4831951879960525,1,6
QE_I62,4.755847685501981,5.0,4.0,6.0,1.5047291738478086,1,6
QE_I63,4.7891074509199205,5.0,4.0,6.0,1.4802986314432496,1,6
QE_I64,4.84347381913858,5.0,4.0,6.0,1.4846076949384717,1,6
QE_I65,4.889252980464345,6.0,4.0,6.0,1.6651848865049461,1,8
CO_CATEGAD,5775.34240885128,10002.0,93.0,10007.0,4921.552971499352,1,10009
CO_ORGACAD,10028.0,10028.0,10028.0,10028.0,0.0,10028,10028
CO_GRUPO,598.4768646575237,2.0,2.0,12.0,1105.7815315541582,1,4004
CO_REGIAO_CURSO,3.057595003806899,3.0,2.0,4.0,0.983850652592271,1,5
CO_MODALIDADE,1.0,1.0,1.0,1.0,0.0,1,1
NU_IDADE,28.002573270752418,25.0,23.0,30.0,7.341211722193773,11,83
TP_SEXO_MASC,0.383417342110082,0.0,0.0,1.0,0.4862208987071853,0,1
QE_I01_SOLTEIRO,0.7743135535230679,1.0,1.0,1.0,0.41803559487323794,0,1
QE_I02_BRANCA,0.5766054029048082,1.0,0.0,1.0,0.49409914505101565,0,1
QE_I05_NUM,3.7144633236634896,4.0,2.0,5.0,1.4165539447735473,1,6
QE_I17_PRIVADO,0.37191954432868474,0.0,0.0,1.0,0.4833194060073813,0,1
QE_I08_NUM,3.150541157875461,3.0,2.0,5.0,1.739437222322713,1,7
