CO_CATEGAD_PRIVADA,CO_GRUPO,QTD_ALUNOS,NT_GER_mean,NT_FG_mean,NT_CE_mean,TP_PRES_mean,QE_I58_mean,QE_I28_mean,QE_I39_mean,QE_I49_mean,QE_I57_mean,QE_I40_mean,QE_I29_mean,QE_I30_mean,QE_I32_mean,QE_I36_mean,QE_I37_mean,QE_I56_mean,QE_I38_mean,QE_I61_mean,QE_I62_mean,QE_I63_mean,QE_I64_mean,QE_I65_mean,CO_CATEGAD_mean,CO_ORGACAD_mean,CO_GRUPO_mean,CO_REGIAO_CURSO_mean,CO_MODALIDADE_mean,NU_IDADE_mean,TP_SEXO_MASC_mean,QE_I01_SOLTEIRO_mean,QE_I02_BRANCA_mean,QE_I05_NUM_mean,QE_I17_PRIVADO_mean,QE_I08_NUM_mean,NT_GER_minimum,NT_FG_minimum,NT_CE_minimum,TP_PRES_minimum,QE_I58_minimum,QE_I28_minimum,QE_I39_minimum,QE_I49_minimum,QE_I57_minimum,QE_I40_minimum,QE_I29_minimum,QE_I30_minimum,QE_I32_minimum,QE_I36_minimum,QE_I37_minimum,QE_I56_minimum,QE_I38_minimum,QE_I61_minimum,QE_I62_minimum,QE_I63_minimum,QE_I64_minimum,QE_I65_minimum,CO_CATEGAD_minimum,CO_ORGACAD_minimum,CO_GRUPO_minimum,CO_REGIAO_CURSO_minimum,CO_MODALIDADE_minimum,NU_IDADE_minimum,TP_SEXO_MASC_minimum,QE_I01_SOLTEIRO_minimum,QE_I02_BRANCA_minimum,QE_I05_NUM_minimum,QE_I17_PRIVADO_minimum,QE_I08_NUM_minimum,NT_GER_median,NT_FG_median,NT_CE_median,TP_PRES_median,QE_I58_median,QE_I28_median,QE_I39_median,QE_I49_median,QE_I57_median,QE_I40_median,QE_I29_median,QE_I30_median,QE_I32_median,QE_I36_median,QE_I37_median,QE_I56_median,QE_I38_median,QE_I61_median,QE_I62_median,QE_I63_median,QE_I64_median,QE_I65_median,CO_CATEGAD_median,CO_ORGACAD_median,CO_GRUPO_median,CO_REGIAO_CURSO_median,CO_MODALIDADE_median,NU_IDADE_median,TP_SEXO_MASC_median,QE_I01_SOLTEIRO_median,QE_I02_BRANCA_median,QE_I05_NUM_median,QE_I17_PRIVADO_median,QE_I08_NUM_median,NT_GER_std,NT_FG_std,NT_CE_std,TP_PRES_std,QE_I58_std,QE_I28_std,QE_I39_std,QE_I49_std,QE_I57_std,QE_I40_std,QE_I29_std,QE_I30_std,QE_I32_std,QE_I36_std,QE_I37_std,QE_I56_std,QE_I38_std,QE_I61_std,QE_I62_std,QE_I63_std,QE_I64_std,QE_I65_std,CO_CATEGAD_std,CO_ORGACAD_std,CO_GRUPO_std,CO_REGIAO_CURSO_std,CO_MODALIDADE_std,NU_IDADE_std,TP_SEXO_MASC_std,QE_I01_SOLTEIRO_std,QE_I02_BRANCA_std,QE_I05_NUM_std,QE_I17_PRIVADO_std,QE_I08_NUM_std,NT_GER_maximum,NT_FG_maximum,NT_CE_maximum,TP_PRES_maximum,QE_I58_maximum,QE_I28_maximum,QE_I39_maximum,QE_I49_maximum,QE_I57_maximum,QE_I40_maximum,QE_I29_maximum,QE_I30_maximum,QE_I32_maximum,QE_I36_maximum,QE_I37_maximum,QE_I56_maximum,QE_I38_maximum,QE_I61_maximum,QE_I62_maximum,QE_I63_maximum,QE_I64_maximum,QE_I65_maximum,CO_CATEGAD_maximum,CO_ORGACAD_maximum,CO_GRUPO_maximum,CO_REGIAO_CURSO_maximum,CO_MODALIDADE_maximum,NU_IDADE_maximum,TP_SEXO_MASC_maximum,QE_I01_SOLTEIRO_maximum,QE_I02_BRANCA_maximum,QE_I05_NUM_maximum,QE_I17_PRIVADO_maximum,QE_I08_NUM_maximum,NT_GER_q25,NT_FG_q25,NT_CE_q25,TP_PRES_q25,QE_I58_q25,QE_I28_q25,QE_I39_q25,QE_I49_q25,QE_I57_q25,QE_I40_q25,QE_I29_q25,QE_I30_q25,QE_I32_q25,QE_I36_q25,QE_I37_q25,QE_I56_q25,QE_I38_q25,QE_I61_q25,QE_I62_q25,QE_I63_q25,QE_I64_q25,QE_I65_q25,CO_CATEGAD_q25,CO_ORGACAD_q25,CO_GRUPO_q25,CO_REGIAO_CURSO_q25,CO_MODALIDADE_q25,NU_IDADE_q25,TP_SEXO_MASC_q25,QE_I01_SOLTEIRO_q25,QE_I02_BRANCA_q25,QE_I05_NUM_q25,QE_I17_PRIVADO_q25,QE_I08_NUM_q25,NT_GER_q75,NT_FG_q75,NT_CE_q75,TP_PRES_q75,QE_I58_q75,QE_I28_q75,QE_I39_q75,QE_I49_q75,QE_I57_q75,QE_I40_q75,QE_I29_q75,QE_I30_q75,QE_I32_q75,QE_I36_q75,QE_I37_q75,QE_I56_q75,QE_I38_q75,QE_I61_q75,QE_I62_q75,QE_I63_q75,QE_I64_q75,QE_I65_q75,CO_CATEGAD_q75,CO_ORGACAD_q75,CO_GRUPO_q75,CO_REGIAO_CURSO_q75,CO_MODALIDADE_q75,NU_IDADE_q75,TP_SEXO_MASC_q75,QE_I01_SOLTEIRO_q75,QE_I02_BRANCA_q75,QE_I05_NUM_q75,QE_I17_PRIVADO_q75,QE_I08_NUM_q75
0,1,9387,44.65235964631941,51.20990731863223,42.449675082560844,555.0,4.813891552146585,4.76265047405987,4.595291360392031,4.597635027165229,4.791946308724833,4.232449131777991,4.524981357196122,4.474059870033025,5.1567060828805795,4.910408011079152,4.42036859486524,4.540002130606157,4.470011718333866,4.423244913177799,4.371790774475338,4.339831682113561,4.625545967827847,4.316181953765846,7629.978587408117,10028.0,1.0,3.047512517311175,1.0,26.566102056034943,0.4878022797485885,0.8145307339938213,0.5620539043357835,3.6768935762224353,0.36060509214871633,3.188878235858102,0.0,0.0,0.0,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,10028,1,1,1,20,0,0,0,1,0,1,44.6,51.8,42.5,555.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10002.0,10028.0,1.0,3.0,1.0,25.0,0.0,1.0,1.0,4.0,0.0,3.0,13.816801332654315,17.101774351837932,14.935517435579786,0.0,1.4309100508339583,1.3861044161237113,1.4228325888796516,1.4462921098428427,1.3254974316820527,1.5368475124155887,1.461666290047905,1.5156838124706773,1.3089085405212861,1.3298701304860487,1.5015875370896843,1.4690401521647556,1.4173105737961342,1.576632850175193,1.6051287591273238,1.6155651683993781,1.4990157320802422,1.7622232086909768,4224.613414539816,0.0,0.0,1.1465588560774091,0.0,5.506768336768185,0.4998778202555172,0.3886984855463766,0.4961607986455365,1.3879415172491574,0.480201650220972,1.6857950190779498,85.8,95.2,87.7,555,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10007,10028,1,5,1,67,1,1,1,6,1,7,35.2,38.9,32.6,555.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,10001.0,10028.0,1.0,2.0,1.0,23.0,0.0,1.0,0.0,3.0,0.0,2.0,54.4,63.8,52.9,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10002.0,10028.0,1.0,4.0,1.0,28.0,1.0,1.0,1.0,5.0,1.0,5.0
0,2,10854,48.12390823659492,57.74223327805415,44.901566242860255,555.0,4.356458448498249,4.7789754929058414,4.606780910263497,4.739911553344389,4.7295927768564585,3.990326147042565,4.467293163810576,4.350009213193292,4.599502487562189,4.9292426755113325,4.300165837479271,4.282845034088815,4.297217615625576,4.3238437442417545,4.278054173576562,4.272157729869173,3.994932743688963,4.083747927031509,8599.733738713838,10028.0,2.0,3.285424728210798,1.0,27.240832872673668,0.459001289847061,0.8229224249124747,0.6228118665929612,4.05491063202506,0.4613967201031878,3.6086235489220564,0.0,0.0,0.0,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,10028,2,1,1,20,0,0,0,1,0,1,48.8,60.2,45.0,555.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,10002.0,10028.0,2.0,3.0,1.0,24.0,0.0,1.0,1.0,4.0,0.0,3.0,15.63521791452084,18.731829625016665,16.569315226465452,0.0,1.6390343049356273,1.4468297540437258,1.4948463610487708,1.4611517905302815,1.3990609979700956,1.6908920258626208,1.5659549707272185,1.6335567898855068,1.5577591572352305,1.4078683463451702,1.6257187227988226,1.609874216123498,1.5664634666977875,1.6976004669360494,1.7228186151908398,1.7215670357817463,1.8078404878253838,1.9221193541513133,3452.587204533914,0.0,0.0,1.1529871464195323,0.0,7.034149911961846,0.49833922782874857,0.3817519276873575,0.4847049523143814,1.4609153888764106,0.49853052522170754,1.8179726836522265,91.7,98.6,95.0,555,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10007,10028,2,5,1,73,1,1,1,6,1,7,36.7,45.0,32.824999999999996,555.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,10001.0,10028.0,2.0,2.0,1.0,23.0,0.0,1.0,0.0,3.0,0.0,2.0,59.8,72.4,57.0,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10007.0,10028.0,2.0,4.0,1.0,29.0,1.0,1.0,1.0,5.0,1.0,5.0
0,12,6972,61.06745553643129,55.285298336202004,62.97825588066515,555.0,5.119191049913941,5.27653471026965,4.9315834767641995,5.276965002868617,5.284136546184739,4.296901893287435,4.775387263339071,4.803499713138267,5.488668961560528,5.3752151462994835,4.7673551348250145,4.594664371772805,4.6061388410786,4.72877223178428,4.42039586919105,4.5530694205393,4.980493402180149,4.6055651176133106,8415.549483648882,10028.0,12.0,2.9611302352266207,1.0,26.64099254159495,0.4629948364888124,0.9229776247848537,0.6041308089500861,4.746844520940907,0.6656626506024096,4.213711990820425,0.0,0.0,0.0,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,10028,12,1,1,21,0,0,0,1,0,1,62.1,55.8,64.0,555.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10002.0,10028.0,12.0,3.0,1.0,26.0,0.0,1.0,1.0,5.0,1.0,5.0,10.413299139846668,13.84989702312638,11.79165293685095,0.0,1.17924188533024,0.9791134700790399,1.2367423647309388,1.0029493573920203,0.918429355238326,1.5601281576053312,1.3280168722014052,1.3557336974543555,0.9377485687180278,0.972763292419381,1.3420069472586544,1.4225332503889843,1.3502023978724353,1.3947103941950585,1.5544818017538888,1.4859049096191974,1.308269445928391,1.7117357612171658,3632.494567938494,0.0,0.0,1.1085449652589674,0.0,3.5975733451642427,0.4986645007358276,0.26664607044575606,0.4890716532487857,1.0775536522133808,0.4717921281222673,1.7633467162223206,90.1,97.8,97.1,555,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10007,10028,12,5,1,66,1,1,1,6,1,7,55.5,46.8,56.3,555.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,10002.0,10028.0,12.0,2.0,1.0,24.0,0.0,1.0,0.0,4.0,0.0,3.0,68.2,64.6,70.9,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10002.0,10028.0,12.0,4.0,1.0,27.0,1.0,1.0,1.0,6.0,1.0,6.0
0,2001,11759,45.84635598265178,50.536185049749136,44.26668084020722,555.0,5.203248575559146,5.300365677353517,5.306063440768773,5.2734926439323075,5.2711114890722,4.802364146611106,5.320860617399439,5.317373926354282,5.485755591461859,5.452759588400374,5.117016753125266,4.754060719448932,5.102559741474615,4.379624117697083,4.442044391529892,4.497066077047368,4.654052215324432,4.336253082745132,1.5230036567735352,10028.0,2001.0,2.475890807041415,1.0,30.554383876179948,0.11097882472999404,0.6123820052725572,0.30512798707373073,2.888085721574964,0.12620120758567904,1.9334977464070073,0.0,0.0,0.0,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10028,2001,1,1,19,0,0,0,1,0,1,46.0,51.5,44.0,555.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,10028.0,2001.0,2.0,1.0,28.0,0.0,1.0,0.0,3.0,0.0,2.0,14.596950988909908,17.44845267846719,15.831031399073867,0.0,1.097641470358018,0.9760313619757537,0.9114324476931966,0.9460910374577408,0.9254255041539444,1.2309682061998446,0.9582362857151714,0.9952925646445352,0.886162263279563,0.826890507972683,1.059827327404789,1.3115844428372863,0.9955810235228065,1.4992587026513833,1.4725547611138912,1.4384712684087395,1.4223893257858002,1.65013659536605,0.5287714156148582,0.0,0.0,1.2076088027852603,0.0,8.961954756597047,0.3141192708019211,0.4872273318198804,0.46048119502637225,1.2934314279407253,0.3320901104591803,1.1074288430548844,90.1,99.4,93.1,555,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,10028,2001,5,1,83,1,1,1,6,1,7,35.7,39.5,33.1,555.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,10028.0,2001.0,2.0,1.0,23.0,0.0,0.0,0.0,2.0,0.0,1.0,55.8,63.0,55.1,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,10028.0,2001.0,3.0,1.0,36.0,0.0,1.0,1.0,4.0,0.0,2.0
0,4004,2305,48.64850325379609,57.91154013015185,45.54403470715849,555.0,5.294577006507592,4.497180043383948,4.583080260303688,4.438611713665944,4.868546637744035,4.022559652928416,4.508026030368764,4.362255965292841,4.992624728850325,5.060737527114967,4.2182212581344904,4.81995661605206,4.322776572668113,4.559219088937093,4.544468546637744,4.626898047722343,4.663774403470716,4.20824295010846,1.3292841648590021,10028.0,4004.0,2.995661605206074,1.0,24.784381778741867,0.8811279826464208,0.9336225596529284,0.589587852494577,4.240347071583514,0.4780911062906725,3.524511930585683,0.0,0.0,0.0,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10028,4004,1,1,20,0,0,0,1,0,1,48.9,60.0,45.5,555.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,10028.0,4004.0,3.0,1.0,24.0,1.0,1.0,1.0,4.0,0.0,3.0,13.310621237670949,17.861691493741446,14.866358082519199,0.0,1.064536898159942,1.3623521311010183,1.2997629541747426,1.4184369388881062,1.0851686439349935,1.5429086914187193,1.3724884762276588,1.4452562892943905,1.2396926808196536,1.223237242586672,1.5426847296132653,1.2357314093979195,1.3565450635789407,1.3825811512939314,1.4406204015908635,1.412237610990568,1.3649292123182528,1.769244800238723,0.5291311171096944,0.0,0.0,1.027393169977805,0.0,3.438436598669605,0.32370808075697305,0.24899472504844197,0.49201528444769876,1.1679397299614143,0.4996281607232603,1.633905229905739,84.1,96.8,87.9,555,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,10028,4004,5,1,55,1,1,1,6,1,7,39.5,45.8,35.1,555.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,10028.0,4004.0,2.0,1.0,23.0,1.0,1.0,0.0,4.0,0.0,2.0,58.0,70.8,56.3,555.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,10028.0,4004.0,4.0,1.0,26.0,1.0,1.0,1.0,5.0,1.0,5.0
1,1,15060,38.94377822045158,43.95104913678648,37.25747675962765,555.0,5.19402390438247,5.128751660026561,4.9657370517928285,5.0832669322709165,5.151593625498008,4.790106241699867,5.007503320053121,4.968260292164675,5.355843293492696,5.1765604249668,4.94468791500664,4.862749003984064,4.988645418326693,4.979017264276228,5.011553784860558,5.023107569721115,5.25265604249668,5.2209163346613545,7383.430013280213,10028.0,1.0,3.1729083665338647,1.0,26.515803452855245,0.4442231075697211,0.8265604249667995,0.6428286852589642,3.503652058432935,0.2925630810092961,3.1817397078353253,0.0,0.0,0.0,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118,10028,1,1,1,20,0,0,0,1,0,1,38.6,43.6,37.6,555.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,10005.0,10028.0,1.0,3.0,1.0,25.0,0.0,1.0,1.0,4.0,0.0,3.0,12.878188770178301,16.283086191025028,13.95845540156509,0.0,1.2882326161135251,1.2694427366465926,1.3209936635586423,1.2684021829363927,1.2205195979781431,1.416501411491046,1.3028177007576711,1.3453633528810633,1.191700380469252,1.2092765658598215,1.3280278414323046,1.4203818874647485,1.2742386225135127,1.3976674490477774,1.3748808940061141,1.359824994837072,1.2493080296888166,1.3223424812543916,4365.393424499666,0.0,0.0,0.6575831553389035,0.0,5.583118229314997,0.4968956963460906,0.3786394176789994,0.47918181660122877,1.291674936209461,0.454954578584647,1.6199331590471653,89.1,95.0,92.0,555,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10009,10028,1,5,1,67,1,1,1,6,1,7,29.8,32.0,27.6,555.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,121.0,10028.0,1.0,3.0,1.0,23.0,0.0,1.0,0.0,2.0,0.0,2.0,47.7,55.4,47.3,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10008.0,10028.0,1.0,4.0,1.0,29.0,1.0,1.0,1.0,4.0,1.0,4.0
1,2,30326,41.230788762118195,49.23778935566855,38.54537360680685,555.0,4.957594143639121,5.169524500428675,5.090021763503264,5.136846270526941,5.1942887291433095,4.693893029083954,4.9951526742729015,4.9058893358834,4.986348347952252,5.241113236166985,4.968673745301062,4.841126426168964,4.969794895469234,4.976950471542571,5.003528325529249,5.025951328892699,4.80966827145024,4.993536899030535,7355.3626591043985,10028.0,2.0,3.163984699597705,1.0,28.951394842709227,0.4026577853986678,0.7533469630020444,0.6237222185583328,3.7584910637736595,0.3957660093649014,3.202136780320517,0.0,0.0,0.0,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118,10028,2,1,1,11,0,0,0,1,0,1,40.4,49.3,37.5,555.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,10005.0,10028.0,2.0,3.0,1.0,25.0,0.0,1.0,1.0,4.0,0.0,3.0,13.821225611806971,17.416628638204738,14.735096614813449,0.0,1.441528295765515,1.276039246932803,1.3008240217467533,1.2843157865757409,1.2149827340145414,1.5345368240186512,1.3556670154050596,1.4328084616823462,1.4156625721739668,1.2209625494438938,1.382665502966057,1.4833235906465814,1.3412884274017214,1.4366408605594623,1.4456988824335835,1.4209430620641708,1.555920059138754,1.5194559406428623,4380.111314660374,0.0,0.0,0.8347660929697798,0.0,8.38469605770779,0.4904410513144337,0.4310701147152441,0.48445903014259617,1.3793099407490907,0.4890226589260081,1.7109212411377328,92.3,95.6,95.5,555,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10009,10028,2,5,1,80,1,1,1,6,1,7,31.1,36.9,27.6,555.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,121.0,10028.0,2.0,3.0,1.0,23.0,0.0,1.0,0.0,3.0,0.0,2.0,50.7,62.0,48.5,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10008.0,10028.0,2.0,4.0,1.0,32.0,1.0,1.0,1.0,5.0,1.0,5.0
1,12,4442,57.811346240432385,50.93460153084202,60.08638000900497,555.0,5.519585772174696,5.513507429085998,5.39779378658262,5.480414227825304,5.494597028365601,4.903196758217019,5.304367402071139,5.216343989194057,5.665015758667267,5.5013507429086,5.269473210265646,5.168167492120666,5.218595227375056,5.317199459702836,5.2005853219270595,5.294687077892841,5.536244934714093,5.40252138676272,7591.95384961729,10028.0,12.0,3.123367852318775,1.0,26.95452498874381,0.36492570914002703,0.9171544349392166,0.7633948671769473,4.827104907699234,0.8633498424133274,4.432687978388113,3.8,0.0,4.6,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118,10028,12,1,1,22,0,0,0,1,0,1,59.0,51.7,61.4,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10008.0,10028.0,12.0,3.0,1.0,26.0,0.0,1.0,1.0,5.0,1.0,5.0,10.9760783485253,14.4109169174109,12.263961351357672,0.0,0.9403267382404992,0.8816079088226694,1.0016984427068174,0.9234121199202603,0.8411787561335897,1.449625083026849,1.0748287120649302,1.1774635861977165,0.7987751613342513,0.9245935340621914,1.1209696569034422,1.1985297308521496,1.1161688618746615,1.1351050173543258,1.2345216853199799,1.1546928630504703,0.9357500409018628,1.1863415975402933,4248.704997757359,0.0,0.0,0.7560302372536345,0.0,3.9482926242984764,0.48146352016831045,0.275679681260934,0.42504566304435354,0.988246232868321,0.34351631316006687,1.7570505639925245,85.7,89.6,91.7,555,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10009,10028,12,5,1,66,1,1,1,6,1,7,51.7,42.3,52.8,555.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10005.0,10028.0,12.0,3.0,1.0,25.0,0.0,1.0,1.0,4.0,1.0,3.0,65.4,61.0,68.8,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10008.0,10028.0,12.0,4.0,1.0,28.0,1.0,1.0,1.0,6.0,1.0,6.0
1,2001,6778,46.47105340808525,49.249468869873105,45.52885807022715,555.0,5.49395101799941,5.535851283564473,5.487606963706108,5.508409560342284,5.492623192682207,5.173354971968132,5.492475656535851,5.468427264679846,5.601652404839186,5.590882266155208,5.405576866332251,5.115815874889348,5.412953673650044,5.0101799940985545,5.121569784597226,5.1687813514311,5.377692534670994,5.326349955739156,4.5706698141044555,10028.0,2001.0,3.194895249336087,1.0,29.54337562702862,0.036884036588964296,0.6007671879610504,0.5172617291236353,2.996754204780171,0.12348775449985247,2.223812334021835,0.0,0.0,0.0,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10028,2001,1,1,19,0,0,0,1,0,1,46.1,49.9,44.7,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,10028.0,2001.0,3.0,1.0,27.0,0.0,1.0,1.0,3.0,0.0,2.0,13.957002103922028,16.52680806580692,15.283278845559757,0.0,0.9379645416767488,0.8035435150785452,0.8334403636402825,0.8338440803183418,0.8394974465484537,1.1103566212990437,0.8466720221728138,0.8975680284765067,0.8080001976933984,0.7329304422711016,0.9201616895765051,1.2227302581028259,0.8735233470501591,1.2903826718962925,1.2375886115413592,1.1909918475497703,1.017560664072423,1.131863347509877,0.49501710063035625,0.0,0.0,0.7792823658339559,0.0,8.94329642342053,0.18849097119737887,0.4897768522527553,0.4997388099991368,1.226335903431716,0.3290205167466791,1.158621899291142,91.9,96.0,93.8,555,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,10028,2001,5,1,75,1,1,1,6,1,7,36.7,38.2,34.6,555.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,10028.0,2001.0,3.0,1.0,22.0,0.0,0.0,0.0,2.0,0.0,1.0,56.2,61.1,56.0,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,10028.0,2001.0,4.0,1.0,35.0,0.0,1.0,1.0,4.0,0.0,3.0
1,4004,2095,39.22171837708828,51.98825775656322,34.94844868735113,555.0,5.4391408114558475,5.0081145584725535,5.036276849642005,4.9813842482100235,5.2,4.831503579952267,4.961336515513127,4.843436754176611,5.263007159904535,5.203341288782816,4.96563245823389,5.06491646778043,4.964200477326969,5.077326968973747,5.098329355608592,5.086873508353222,5.423389021479713,5.2262529832935565,4.65346062052506,10028.0,4004.0,3.299284009546539,1.0,25.325059665871123,0.883054892601432,0.8711217183770883,0.6921241050119332,3.9174224343675417,0.3322195704057279,3.378997613365155,0.0,0.0,0.0,555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10028,4004,1,1,20,0,0,0,1,0,1,38.6,53.1,33.6,555.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,10028.0,4004.0,3.0,1.0,24.0,1.0,1.0,1.0,4.0,0.0,3.0,12.136666087210136,17.420071133343313,13.144625545620984,0.0,0.9932894358022252,1.2402171245394527,1.2348882063765738,1.2769116398740918,1.0636837470122746,1.4002184240381363,1.226083182445353,1.3721627417901165,1.1078609139367295,1.1252457252554142,1.3041564471636509,1.2468051550816786,1.224611322819155,1.2590594401546422,1.2990600070740679,1.287695983633323,0.969805349257125,1.279990017182672,0.4759810712434181,0.0,0.0,0.7317825464759349,0.0,4.793920973848652,0.3214315881315615,0.33514516944825423,0.4617251234800592,1.2117527938498225,0.4711217176842245,1.540146592302912,82.3,98.6,84.8,555,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,10028,4004,5,1,56,1,1,1,6,1,7,30.7,40.150000000000006,24.8,555.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,10028.0,4004.0,3.0,1.0,22.0,1.0,1.0,0.0,3.0,0.0,2.0,46.849999999999994,64.85,42.7,555.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,10028.0,4004.0,4.0,1.0,27.0,1.0,1.0,1.0,5.0,1.0,5.0
