CO_CATEGAD_PRIVADA,CO_GRUPO,QTD_ALUNOS,NT_GER_mean,NT_FG_mean,NT_CE_mean,QE_I58_mean,QE_I28_mean,QE_I39_mean,QE_I49_mean,QE_I57_mean,QE_I40_mean,QE_I29_mean,QE_I30_mean,QE_I32_mean,QE_I36_mean,QE_I37_mean,QE_I56_mean,QE_I38_mean,QE_I61_mean,QE_I62_mean,QE_I63_mean,QE_I64_mean,QE_I65_mean,CO_CATEGAD_mean,CO_ORGACAD_mean,CO_GRUPO_mean,CO_REGIAO_CURSO_mean,CO_MODALIDADE_mean,NU_IDADE_mean,TP_SEXO_MASC_mean,QE_I01_SOLTEIRO_mean,QE_I02_BRANCA_mean,QE_I05_NUM_mean,QE_I17_PRIVADO_mean,QE_I08_NUM_mean,NT_GER_minimum,NT_FG_minimum,NT_CE_minimum,QE_I58_minimum,QE_I28_minimum,QE_I39_minimum,QE_I49_minimum,QE_I57_minimum,QE_I40_minimum,QE_I29_minimum,QE_I30_minimum,QE_I32_minimum,QE_I36_minimum,QE_I37_minimum,QE_I56_minimum,QE_I38_minimum,QE_I61_minimum,QE_I62_minimum,QE_I63_minimum,QE_I64_minimum,QE_I65_minimum,CO_CATEGAD_minimum,CO_ORGACAD_minimum,CO_GRUPO_minimum,CO_REGIAO_CURSO_minimum,CO_MODALIDADE_minimum,NU_IDADE_minimum,TP_SEXO_MASC_minimum,QE_I01_SOLTEIRO_minimum,QE_I02_BRANCA_minimum,QE_I05_NUM_minimum,QE_I17_PRIVADO_minimum,QE_I08_NUM_minimum,NT_GER_median,NT_FG_median,NT_CE_median,QE_I58_median,QE_I28_median,QE_I39_median,QE_I49_median,QE_I57_median,QE_I40_median,QE_I29_median,QE_I30_median,QE_I32_median,QE_I36_median,QE_I37_median,QE_I56_median,QE_I38_median,QE_I61_median,QE_I62_median,QE_I63_median,QE_I64_median,QE_I65_median,CO_CATEGAD_median,CO_ORGACAD_median,CO_GRUPO_median,CO_REGIAO_CURSO_median,CO_MODALIDADE_median,NU_IDADE_median,TP_SEXO_MASC_median,QE_I01_SOLTEIRO_median,QE_I02_BRANCA_median,QE_I05_NUM_median,QE_I17_PRIVADO_median,QE_I08_NUM_median,NT_GER_std,NT_FG_std,NT_CE_std,QE_I58_std,QE_I28_std,QE_I39_std,QE_I49_std,QE_I57_std,QE_I40_std,QE_I29_std,QE_I30_std,QE_I32_std,QE_I36_std,QE_I37_std,QE_I56_std,QE_I38_std,QE_I61_std,QE_I62_std,QE_I63_std,QE_I64_std,QE_I65_std,CO_CATEGAD_std,CO_ORGACAD_std,CO_GRUPO_std,CO_REGIAO_CURSO_std,CO_MODALIDADE_std,NU_IDADE_std,TP_SEXO_MASC_std,QE_I01_SOLTEIRO_std,QE_I02_BRANCA_std,QE_I05_NUM_std,QE_I17_PRIVADO_std,QE_I08_NUM_std,NT_GER_maximum,NT_FG_maximum,NT_CE_maximum,QE_I58_maximum,QE_I28_maximum,QE_I39_maximum,QE_I49_maximum,QE_I57_maximum,QE_I40_maximum,QE_I29_maximum,QE_I30_maximum,QE_I32_maximum,QE_I36_maximum,QE_I37_maximum,QE_I56_maximum,QE_I38_maximum,QE_I61_maximum,QE_I62_maximum,QE_I63_maximum,QE_I64_maximum,QE_I65_maximum,CO_CATEGAD_maximum,CO_ORGACAD_maximum,CO_GRUPO_maximum,CO_REGIAO_CURSO_maximum,CO_MODALIDADE_maximum,NU_IDADE_maximum,TP_SEXO_MASC_maximum,QE_I01_SOLTEIRO_maximum,QE_I02_BRANCA_maximum,QE_I05_NUM_maximum,QE_I17_PRIVADO_maximum,QE_I08_NUM_maximum,NT_GER_q25,NT_FG_q25,NT_CE_q25,QE_I58_q25,QE_I28_q25,QE_I39_q25,QE_I49_q25,QE_I57_q25,QE_I40_q25,QE_I29_q25,QE_I30_q25,QE_I32_q25,QE_I36_q25,QE_I37_q25,QE_I56_q25,QE_I38_q25,QE_I61_q25,QE_I62_q25,QE_I63_q25,QE_I64_q25,QE_I65_q25,CO_CATEGAD_q25,CO_ORGACAD_q25,CO_GRUPO_q25,CO_REGIAO_CURSO_q25,CO_MODALIDADE_q25,NU_IDADE_q25,TP_SEXO_MASC_q25,QE_I01_SOLTEIRO_q25,QE_I02_BRANCA_q25,QE_I05_NUM_q25,QE_I17_PRIVADO_q25,QE_I08_NUM_q25,NT_GER_q75,NT_FG_q75,NT_CE_q75,QE_I58_q75,QE_I28_q75,QE_I39_q75,QE_I49_q75,QE_I57_q75,QE_I40_q75,QE_I29_q75,QE_I30_q75,QE_I32_q75,QE_I36_q75,QE_I37_q75,QE_I56_q75,QE_I38_q75,QE_I61_q75,QE_I62_q75,QE_I63_q75,QE_I64_q75,QE_I65_q75,CO_CATEGAD_q75,CO_ORGACAD_q75,CO_GRUPO_q75,CO_REGIAO_CURSO_q75,CO_MODALIDADE_q75,NU_IDADE_q75,TP_SEXO_MASC_q75,QE_I01_SOLTEIRO_q75,QE_I02_BRANCA_q75,QE_I05_NUM_q75,QE_I17_PRIVADO_q75,QE_I08_NUM_q75
0,1,9392,44.639416524701915,51.193952299829725,42.43773424190786,4.8136712095400345,4.762350936967632,4.5956132879046,4.598062180579216,4.792270017035775,4.232218909710392,4.5251277683134585,4.474339863713799,5.156942078364565,4.910455706984668,4.419931856899489,4.539927597955707,4.470187393526405,4.422593696763203,4.371912265758092,4.339757240204429,4.6261712095400345,4.31548126064736,7628.0831558773425,10028.0,1.0,3.0481260647359454,1.0,26.56399063032368,0.4877555366269165,0.8145229982964225,0.5620741056218058,3.6772785349233392,0.360732538330494,3.189097103918228,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,10028,1,1,1,20,0,0,0,1,0,1,44.6,51.8,42.5,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10002.0,10028.0,1.0,3.0,1.0,25.0,0.0,1.0,1.0,4.0,0.0,3.0,13.83647215390173,17.121781745067313,14.951222530534546,1.430903299547589,1.3859037244167323,1.4226269555788442,1.4460696839343155,1.3252669661208965,1.536914202720234,1.4613929113943303,1.5153991053968712,1.3087301929632404,1.3298379949087233,1.5019168796307842,1.468986060475111,1.4173594207651057,1.5770329302580626,1.6052806074103856,1.6156260519768664,1.498889913898036,1.762559447222881,4225.765194730896,0.0,0.0,1.1466918717892394,0.0,5.506131968904315,0.49987666317287466,0.3887047347074396,0.4961582573506473,1.3878717416941566,0.48023861780637256,1.6857898120243124,85.8,95.2,87.7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10007,10028,1,5,1,67,1,1,1,6,1,7,35.2,38.9,32.6,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,10001.0,10028.0,1.0,2.0,1.0,23.0,0.0,1.0,0.0,3.0,0.0,2.0,54.4,63.8,52.824999999999996,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10002.0,10028.0,1.0,4.0,1.0,28.0,1.0,1.0,1.0,5.0,1.0,5.0
0,2,10854,48.12390823659492,57.74223327805415,44.901566242860255,4.356458448498249,4.7789754929058414,4.606780910263497,4.739911553344389,4.7295927768564585,3.990326147042565,4.467293163810576,4.350009213193292,4.599502487562189,4.9292426755113325,4.300165837479271,4.282845034088815,4.297217615625576,4.3238437442417545,4.278054173576562,4.272157729869173,3.994932743688963,4.083747927031509,8599.733738713838,10028.0,2.0,3.285424728210798,1.0,27.240832872673668,0.459001289847061,0.8229224249124747,0.6228118665929612,4.05491063202506,0.4613967201031878,3.6086235489220564,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,10028,2,1,1,20,0,0,0,1,0,1,48.8,60.2,45.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,10002.0,10028.0,2.0,3.0,1.0,24.0,0.0,1.0,1.0,4.0,0.0,3.0,15.63521791452084,18.731829625016665,16.569315226465452,1.6390343049356273,1.4468297540437258,1.4948463610487708,1.4611517905302815,1.3990609979700956,1.6908920258626208,1.5659549707272185,1.6335567898855068,1.5577591572352305,1.4078683463451702,1.6257187227988226,1.609874216123498,1.5664634666977875,1.6976004669360494,1.7228186151908398,1.7215670357817463,1.8078404878253838,1.9221193541513133,3452.587204533914,0.0,0.0,1.1529871464195323,0.0,7.034149911961846,0.49833922782874857,0.3817519276873575,0.4847049523143814,1.4609153888764106,0.49853052522170754,1.8179726836522265,91.7,98.6,95.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10007,10028,2,5,1,73,1,1,1,6,1,7,36.7,45.0,32.824999999999996,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,10001.0,10028.0,2.0,2.0,1.0,23.0,0.0,1.0,0.0,3.0,0.0,2.0,59.8,72.4,57.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10007.0,10028.0,2.0,4.0,1.0,29.0,1.0,1.0,1.0,5.0,1.0,5.0
0,12,7573,61.10790967912307,55.36313218011357,63.00629869272379,5.101677010431797,5.265284563581144,4.915753334213654,5.268057572956556,5.279281658523702,4.2708305823319686,4.7612570975835204,4.788987191337647,5.489238082662089,5.367093622078436,4.7438267529380695,4.588142083718473,4.582331968836656,4.71873762049386,4.397992869404463,4.538227914961046,4.976891588538228,4.874554337778951,8435.655090452925,10028.0,12.0,2.9433513799022846,1.0,26.604251947708967,0.45913112372903736,0.923015977815925,0.6037237554469828,4.754522646243233,0.6678991152779612,4.224613759408425,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93,10028,12,1,1,21,0,0,0,1,0,1,62.2,56.0,64.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,10002.0,10028.0,12.0,3.0,1.0,26.0,0.0,1.0,1.0,5.0,1.0,5.0,10.426059534051367,13.791003629252089,11.81475809829961,1.1711506560702873,0.9829531783561988,1.241572256302966,1.0048642345147516,0.922106222404126,1.5612823401443872,1.3325912240325173,1.3577467239402872,0.9356171286810531,0.9804938363145912,1.349855889311735,1.4204758378092308,1.3535145315393118,1.393750253490134,1.552754717368566,1.4813590358369184,1.3021456158835891,1.8711402117801883,3613.6668356518244,0.0,0.0,1.1045873791271614,0.0,3.554810864299381,0.4983598406212817,0.2665836955905456,0.48915537213636107,1.073048887207762,0.47099806849234827,1.7608216456628054,90.1,97.8,97.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,10007,10028,12,5,1,66,1,1,1,6,1,7,55.6,46.9,56.3,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,10002.0,10028.0,12.0,2.0,1.0,24.0,0.0,1.0,0.0,4.0,0.0,3.0,68.2,64.6,70.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10002.0,10028.0,12.0,4.0,1.0,27.0,1.0,1.0,1.0,6.0,1.0,6.0
0,2001,13844,46.07252961571804,50.74937156891056,44.49724790522932,5.187084657613407,5.294929211210633,5.301863623230281,5.275137243571222,5.274559375902919,4.779760184917654,5.320861022825773,5.316238081479341,5.490465183472985,5.449003178272176,5.106399884426466,4.740537416931523,5.095059231436001,4.355244149089859,4.4235047674082635,4.484036405663103,4.638904940768564,4.792545507078879,1.52773764807859,10028.0,2001.0,2.473201386882404,1.0,30.488009245882694,0.10741115284599827,0.611383993065588,0.30381392661080614,2.8820427622074547,0.1265530193585669,1.9359289222767986,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10028,2001,1,1,19,0,0,0,1,0,1,46.2,51.7,44.2,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,10028.0,2001.0,2.0,1.0,28.0,0.0,1.0,0.0,3.0,0.0,2.0,14.491241013084926,17.351619272062344,15.720486440794902,1.0893563700325628,0.9721545397854723,0.9104810784180868,0.9381279009945623,0.9162502619515913,1.2344675747677132,0.9528634776789049,0.9897075499388359,0.878509726777861,0.8237339484610207,1.056801617641959,1.3086217247857206,0.9884437390009057,1.4960495856884943,1.4684918668406237,1.4300485290602658,1.4139552197640273,1.856792087031614,0.5287616392441153,0.0,0.0,1.1949669825252274,0.0,8.89866461875178,0.30964644822918,0.48745335113882937,0.45991988855087657,1.297266109667668,0.3324835901543225,1.106421627802125,90.1,99.4,93.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,3,10028,2001,5,1,83,1,1,1,6,1,7,36.0,39.8,33.2,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,10028.0,2001.0,2.0,1.0,23.0,0.0,0.0,0.0,2.0,0.0,1.0,56.0,63.1,55.3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,10028.0,2001.0,3.0,1.0,36.0,0.0,1.0,1.0,4.0,0.0,2.0
0,4004,2799,48.9861379063951,58.03072525902109,45.95473383351208,5.310468024294391,4.47588424437299,4.577706323687031,4.434798142193641,4.892818863879957,4.020721686316541,4.511611289746338,4.384423008217221,5.002858163629868,5.080028581636299,4.205073240443015,4.838513754912468,4.313326187924258,4.580207216863165,4.564844587352626,4.648088603072526,4.708467309753483,4.734905323329761,1.3190425151839942,10028.0,4004.0,2.994640943193998,1.0,24.752768846016433,0.8763844230082172,0.9346195069667739,0.5880671668453019,4.240085744908896,0.4780278670953912,3.519113969274741,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10028,4004,1,1,20,0,0,0,1,0,1,49.2,60.0,46.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,10028.0,4004.0,3.0,1.0,24.0,1.0,1.0,1.0,4.0,0.0,3.0,13.248275302141499,17.79147479210074,14.788143817307398,1.04049585537349,1.3516889319388148,1.2964526399665377,1.4139419472588342,1.071070900165928,1.5331456007945805,1.3673634691306862,1.4338350932910153,1.2301282694164988,1.204897321176983,1.537044121642197,1.2203610091171386,1.3456058438174903,1.358759404495367,1.4202634317803382,1.3946655331149862,1.3335862269524559,1.9584040918094041,0.5225764490315715,0.0,0.0,1.0150616297919475,0.0,3.4633234069669325,0.3292012830485946,0.24724021374646496,0.4922710145249906,1.1657892036169824,0.49960624732709014,1.6252483620225973,84.1,96.8,87.9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,3,10028,4004,5,1,55,1,1,1,6,1,7,39.9,45.9,35.4,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,10028.0,4004.0,2.0,1.0,22.0,1.0,1.0,0.0,4.0,0.0,2.0,58.2,70.95,56.7,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,10028.0,4004.0,4.0,1.0,26.0,1.0,1.0,1.0,5.0,1.0,5.0
1,1,15068,38.92485399522171,43.930017255110464,37.2392620122108,5.194252720998142,5.128948765595965,4.965821608707194,5.083355455269445,5.151645872046721,4.790018582426334,5.007432970533581,4.968078046190603,5.355654366870189,5.1763339527475445,4.944783647464826,4.862622776745421,4.988850544199629,4.979360233607645,5.0119458455003985,5.023493496150783,5.252853729758429,5.221130873374038,7384.166910007963,10028.0,1.0,3.1728165649057605,1.0,26.51559596495885,0.4441863551898062,0.8266525086275551,0.6428855853464295,3.503915582691797,0.2925404831430847,3.182041412264401,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118,10028,1,1,1,20,0,0,0,1,0,1,38.6,43.6,37.6,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,10005.0,10028.0,1.0,3.0,1.0,25.0,0.0,1.0,1.0,4.0,0.0,3.0,12.902495104241165,16.306465096867733,13.978268204133833,1.2879771473590336,1.2692390818310857,1.3209714967127493,1.268215144247838,1.2203472077725845,1.4165960825373844,1.3025995601399645,1.3453716678614132,1.1919691073820087,1.2096402854566934,1.3279035364552314,1.4204797089582732,1.2741365048434825,1.3974676067789353,1.3747055954165959,1.35965249051362,1.2490555877387022,1.3221214163173571,4365.001671907363,0.0,0.0,0.6574206233098636,0.0,5.581969326225307,0.4968915604558785,0.3785599679513855,0.4791648432636454,1.291896441175674,0.45494426568670704,1.6196276614112657,89.1,95.0,92.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10009,10028,1,5,1,67,1,1,1,6,1,7,29.7,32.0,27.6,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,121.0,10028.0,1.0,3.0,1.0,23.0,0.0,1.0,0.0,2.0,0.0,2.0,47.7,55.3,47.3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10008.0,10028.0,1.0,4.0,1.0,29.0,1.0,1.0,1.0,4.0,1.0,4.0
1,2,30334,41.22397639612304,49.23048724203879,38.538725522516785,4.957770158897607,5.169611656886662,5.090129887255225,5.136975011538208,5.194402320828114,4.693808927276324,4.995153952660381,4.905980088349707,4.986450847234127,5.241082613568932,4.968747939605723,4.841168325970858,4.96990176040087,4.977055449330784,5.003494428693875,5.025977451045032,4.80978440034285,4.993538603547175,7356.062042592471,10028.0,2.0,3.1639084855277906,1.0,28.953748269268807,0.4026504911979957,0.7533790466143602,0.6237225555482298,3.7586206896551726,0.3957605327355443,3.2022812685435484,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118,10028,2,1,1,11,0,0,0,1,0,1,40.4,49.3,37.5,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,10005.0,10028.0,2.0,3.0,1.0,25.0,0.0,1.0,1.0,4.0,0.0,3.0,13.828261615424491,17.424167231523125,14.740797803161357,1.4414232451525049,1.2759080886726943,1.3006948543320342,1.2841949444537553,1.2148680769818256,1.5345781783578363,1.3555368766221427,1.4326706721152707,1.4155583595288108,1.2208958120244493,1.3825801277099503,1.483285805750907,1.3411753074064268,1.4365792532848423,1.445747758759591,1.4208595454075352,1.555831951513931,1.5194074513681965,4379.74536391228,0.0,0.0,0.834686476188504,0.0,8.389207290260282,0.49043960133250325,0.4310512545485596,0.4844589419718347,1.3793602781595733,0.48902148939880996,1.7108680833605816,92.3,95.6,95.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10009,10028,2,5,1,80,1,1,1,6,1,7,31.1,36.9,27.6,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,121.0,10028.0,2.0,3.0,1.0,23.0,0.0,1.0,0.0,3.0,0.0,2.0,50.7,62.0,48.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10008.0,10028.0,2.0,4.0,1.0,32.0,1.0,1.0,1.0,5.0,1.0,5.0
1,12,4743,57.26767868437711,50.37417246468482,59.547944339025925,5.505798018131984,5.507273877292852,5.395741092135779,5.472485768500949,5.495045329959941,4.88909972591187,5.296436854311617,5.205144423360742,5.661184904069154,5.497153700189753,5.260594560404807,5.1583386042589074,5.2127345561880665,5.30718954248366,5.188277461522243,5.29179843980603,5.543327008222644,5.53236348302762,7722.324267341345,10028.0,12.0,3.122707147375079,1.0,27.147796753109848,0.3653805608264811,0.90955091714105,0.7649167193759224,4.818469323213156,0.8606367278094034,4.47965422728231,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118,10028,12,1,1,22,0,0,0,1,0,1,58.6,51.4,60.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10008.0,10028.0,12.0,3.0,1.0,26.0,0.0,1.0,1.0,5.0,1.0,5.0,11.22577954299928,14.586140574653184,12.490630629948383,0.936804352281803,0.8827866822074589,1.000652883672511,0.9232640866859445,0.8374452480581381,1.453603156799939,1.0747288637147059,1.1809498064678048,0.7946632598199536,0.9222988048333716,1.1225897488719716,1.2015461454501155,1.1162265877469628,1.138215511274461,1.23792082142357,1.1537399036845148,0.9274444259266036,1.247923809755486,4168.341764243112,0.0,0.0,0.7382689237966678,0.0,4.232224455962661,0.4815874845659417,0.2868543098450183,0.4240955697959785,0.9971175335136521,0.34636172410187177,1.7485178777035393,85.7,92.8,91.7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,10009,10028,12,5,1,66,1,1,1,6,1,7,51.1,41.3,52.3,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10005.0,10028.0,12.0,3.0,1.0,25.0,0.0,1.0,1.0,4.0,1.0,3.0,65.1,60.4,68.4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10008.0,10028.0,12.0,3.0,1.0,28.0,1.0,1.0,1.0,6.0,1.0,6.0
1,2001,7076,46.54905313736597,49.31208309779537,45.61188524590155,5.479366873940079,5.526286037309214,5.479508196721311,5.5,5.4850197851893725,5.156726964386659,5.482617297908423,5.462266817410967,5.5956755228942905,5.5828151498021485,5.3925946862634255,5.095534200113058,5.3990955342001135,4.991237987563595,5.105285472018089,5.154748445449407,5.363764838892029,5.4135104578858115,4.570520067834935,10028.0,2001.0,3.1923403052572072,1.0,29.540135669869983,0.03646127755794234,0.601328434143584,0.5183719615602035,2.9990107405313737,0.12167891464104014,2.2262577727529678,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10028,2001,1,1,19,0,0,0,1,0,1,46.2,49.9,44.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,10028.0,2001.0,3.0,1.0,27.0,0.0,1.0,1.0,3.0,0.0,2.0,13.921211939321553,16.48316385671227,15.26355399731959,0.9356683568478968,0.8143683886154007,0.8378019945808131,0.8385584130006295,0.8412855800323015,1.1169867211357465,0.8542441891222624,0.9000137604169427,0.811770970764149,0.7396370346794546,0.9257503469154718,1.2325054995669347,0.8814503155923037,1.294372530645187,1.2442127414779423,1.1965527902357405,1.0258613069796054,1.1736848681155148,0.4950369206562178,0.0,0.0,0.7747996293623071,0.0,8.935304190967726,0.1874481753170545,0.4896595070997551,0.49969766760535367,1.226848821912536,0.3269377037285781,1.1583320105907933,91.9,96.0,93.8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,5,10028,2001,5,1,75,1,1,1,6,1,7,36.775,38.3,34.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,10028.0,2001.0,3.0,1.0,22.0,0.0,0.0,0.0,2.0,0.0,1.0,56.2,61.1,56.025,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,10028.0,2001.0,3.0,1.0,35.0,0.0,1.0,1.0,4.0,0.0,3.0
1,4004,2231,39.295114298520794,52.016270730614046,35.03693411026472,5.424921559838637,4.982070820259973,5.008516360376513,4.942626624831914,5.179291797400269,4.7848498431196775,4.925593904078888,4.807709547288211,5.243836844464366,5.181981174361273,4.93993724787091,5.0376512774540565,4.934110264455401,5.053787539220081,5.060959211116091,5.062303899596594,5.409681757059615,5.341550874047512,4.645450470640968,10028.0,4004.0,3.2976243836844463,1.0,25.324966382787988,0.8812191842223218,0.868668758404303,0.6943074854325415,3.91976692066338,0.3321380546839982,3.370685791125056,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10028,4004,1,1,20,0,0,0,1,0,1,38.6,53.2,33.9,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,10028.0,4004.0,3.0,1.0,24.0,1.0,1.0,1.0,4.0,0.0,3.0,12.11768186524877,17.3568275212381,13.13944420453832,0.9939670847635007,1.245851021621935,1.2472100144914984,1.2923812984634597,1.0635171535486982,1.411472520013118,1.2433948515999398,1.3838445498035212,1.1139862484380647,1.1328989053266327,1.3115478124040474,1.2618651745320422,1.2393608595976824,1.265893664250656,1.3169657930748542,1.2971752266329388,0.974000781310957,1.3213897823654537,0.47848383597582267,0.0,0.0,0.7355109901943254,0.0,4.798047032281063,0.323602953737559,0.33783798636034,0.4608034049961518,1.2069749234466478,0.4710858087740739,1.5361770221497937,82.3,98.6,84.8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,5,10028,4004,5,1,56,1,1,1,6,1,7,30.8,40.2,24.8,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,10028.0,4004.0,3.0,1.0,22.0,1.0,1.0,0.0,3.0,0.0,2.0,46.8,64.7,42.7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,10028.0,4004.0,4.0,1.0,27.0,1.0,1.0,1.0,5.0,1.0,5.0
