variable,mean,median,q25,q75,std,min,max
NU_ANO,2017.868795350001,2018.0,2018.0,2018.0,0.5924825207878607,2017,2019
CO_IES,741.5381565525338,420.0,163.0,581.0,2102.6867025452802,1,23410
CO_CATEGAD_PRIVADA,0.5721269511326674,1.0,0.0,1.0,0.49477273440953196,0,1
CO_ORGACAD_NUM,3.0,3.0,3.0,3.0,0.0,3,3
NT_GER,45.27761129395461,45.0,34.3,56.3,14.939885470338284,0.0,92.3
NT_FG,50.532319995380796,51.2,38.2,63.2,17.410884053395645,0.0,99.4
NT_CE,43.509427026194736,42.7,31.3,55.4,16.465208498701465,0.0,97.1
QE_I58,5.037328945089208,6.0,4.0,6.0,1.345697379424717,1,6
QE_I28,5.126758665819812,6.0,5.0,6.0,1.2329709029973637,1,6
QE_I39,5.017331639625074,5.0,4.0,6.0,1.2772932781461976,1,6
QE_I49,5.0839251688896585,6.0,5.0,6.0,1.2514658524797053,1,6
QE_I57,5.145235483188021,6.0,5.0,6.0,1.1695376563576347,1,6
QE_I40,4.5974459649325405,5.0,4.0,6.0,1.5047513026471364,1,6
QE_I29,4.958090343938257,5.0,4.0,6.0,1.3267862956541843,1,6
QE_I30,4.899407202109437,5.0,4.0,6.0,1.3905648161318445,1,6
QE_I32,5.197018688530901,6.0,5.0,6.0,1.265019992108686,1,6
QE_I36,5.235473564678484,6.0,5.0,6.0,1.1646938102967224,1,6
QE_I37,4.868776103316204,5.0,4.0,6.0,1.376070812450939,1,6
QE_I56,4.762832727062763,5.0,4.0,6.0,1.4386762218772278,1,6
QE_I38,4.86750582212214,5.0,4.0,6.0,1.323908505413876,1,6
QE_I61,4.764372461843448,5.0,4.0,6.0,1.4836453431209278,1,6
QE_I62,4.755249533267895,5.0,4.0,6.0,1.50510460263835,1,6
QE_I63,4.788613661296842,5.0,4.0,6.0,1.4805839638469727,1,6
QE_I64,4.843091402505919,5.0,4.0,6.0,1.4850552766714935,1,6
QE_I65,4.88847508516658,6.0,4.0,6.0,1.665700142172353,1,8
CO_CATEGAD,5773.674644417499,10002.0,93.0,10007.0,4921.832529103917,1,10009
CO_ORGACAD,10028.0,10028.0,10028.0,10028.0,0.0,10028,10028
CO_GRUPO,599.107608214485,2.0,2.0,12.0,1105.9945065134257,1,4004
CO_REGIAO_CURSO,3.0577015609061338,3.0,2.0,4.0,0.9837830366327569,1,5
CO_MODALIDADE,1.0,1.0,1.0,1.0,0.0,1,1
NU_IDADE,28.00490790461343,25.0,23.0,30.0,7.344411998437269,11,83
TP_SEXO_MASC,0.38343245375983986,0.0,0.0,1.0,0.4862245183648492,0,1
QE_I01_SOLTEIRO,0.7743711145755143,1.0,1.0,1.0,0.41799781446543594,0,1
QE_I02_BRANCA,0.5765825586542718,1.0,0.0,1.0,0.49410268277792324,0,1
QE_I05_NUM,3.7141578613083897,4.0,2.0,5.0,1.4168263372836234,1,6
QE_I17_PRIVADO,0.3718555728775718,0.0,0.0,1.0,0.48330244529677446,0,1
QE_I08_NUM,3.150383971360933,3.0,2.0,5.0,1.7394135100874744,1,7
